uuid,qid,difficulty,stem,gold,haiku_answer,haiku_confidence,haiku_reasoning,matched,similarity,ok,latency_ms,input_tokens,output_tokens,error,b2_severity
7bdcd575-8032-439c-ad35-089657423973,WB-REG-0178-L1,1,"Given the fact, in which country would a traveller find the San Juan wine region?",Argentina,Argentina,0.85,"San Juan is a well-known wine region located in the San Juan Province of Argentina, situated in the Cuyo region near the Andes Mountains, and is known for producing high-altitude wines.",True,1.0,True,1571,139,77,,fail
d1a20833-4000-42ab-9095-6cae51b2b1ee,WB-REG-0219-L2,2,"Which Spanish wine designation is defined not by a single contiguous territorial boundary, but rather encompasses more than 40 square kilometers of scattered vineyard plots distributed throughout its broader autonomous community?",Catalunya DOP,Riojas Alavesas,0.35,"While I'm familiar with Spanish wine regions like Rioja and Riojas Alavesas, I'm not confident about the specific characteristic of having scattered vineyard plots across 40+ square kilometers as a defining feature of any particular designation, and this description could potentially apply to other regions I'm less certain about.",False,0.286,True,1912,158,108,,pass
1e950b64-cccd-4541-8b5c-acf76a0cd531,WB-BIZ-0181-L2,2,Which wine-producing nation recorded a total output of roughly 9.0 million hectolitres for the 2023 vintage?,South Africa,Australia,0.35,"Australia has been producing around 9-10 million hectolitres in recent years, but I'm uncertain about the specific 2023 figure and cannot verify this without external sources, making this a low-confidence guess among major producers like France, Italy, Spain, and Australia.",False,0.286,True,1958,149,93,,pass
d9499398-0533-4deb-9864-5933a73da597,WB-VIT-0212-L2,2,"This Washington State AVA sits on elevated plateaus that overlook the Columbia River, positioned roughly 10 miles north of the Tri-Cities area within Franklin County. Which AVA fits this description?",White Bluffs AVA,Rattlesnake Hills,0.45,"While Rattlesnake Hills is a known Washington AVA in the general region, I'm not confident this matches the specific description of elevated plateaus 10 miles north of Tri-Cities in Franklin County, as my knowledge of precise AVA boundaries and locations in this area is uncertain.",False,0.303,True,1960,163,101,,warn
64f061f9-7a55-44cb-9a56-34ae5d9138a0,WB-GRP-0259-L2,2,"A winemaker in Oregon is developing a new experimental white wine blend and plans to label it with a single varietal designation. The intended grape is a lesser-known, non-European variety that has shown success in cooler climates due to its high acidity and resistance to botrytis. The winemaker is also considering two other varieties—one noted for its thick skins and high sugar concentration at harvest, often used in late-harvest wines, and another that thrives in humid conditions and contributes bright red fruit notes to blends. Before finalizing the label, the winemaker consults the TTB's list of approved grape variety names to ensure compliance. Which of the following must be true for any of these varieties to be used in a varietal designation on the wine label?",The grape variety must appear on the TTB’s approved list of grape names for labeling purposes.,The variety must comprise at least 75% of the wine's volume to be used in a varietal designation on the label,0.85,"TTB regulations for varietal labeling in the United States require that the named variety must constitute a minimum of 75% of the wine, which is the standard threshold for single-varietal designation compliance regardless of the grape type or its characteristics.",False,0.337,True,2139,286,109,,fail
3a39f126-3824-4a19-8019-08395e886240,WB-PRD-0209-L1,1,What wine region is Château la Marzelle part of?,Saint-Émilion,Saint-Émilion,0.72,"Château la Marzelle is a known wine producer in the Saint-Émilion region of Bordeaux, France, though I'm not entirely certain of this specific château's classification or exact location.",True,1.0,True,1893,135,84,,fail
9310362d-eb05-4199-bfc1-7bab862543e0,WB-GRP-0200-L1,1,"Per the fact, which country hosts cultivation of Cabernet Sauvignon?",Argentina,France,0.95,"Cabernet Sauvignon originated in Bordeaux, France, where it remains one of the most prestigious and widely cultivated grape varieties, though it is now grown in many countries worldwide.",False,0.267,True,1314,138,75,,warn
599630f2-4a43-4a11-8b57-f2c51cc39c0f,WB-PRD-0210-L1,1,What wine region is Château Laniote part of?,Saint-Émilion,"Saint-Julien, Bordeaux",0.45,"Château Laniote sounds like it could be a Bordeaux château based on naming conventions, and Saint-Julien is a prominent left bank appellation, but I have low confidence as I cannot reliably recall specific details about this particular château's classification or location.",False,0.514,True,2120,134,100,,fail
31d353e9-83d0-4b7a-9034-5ef4d922266f,WB-GRP-0220-L2,2,Which red grape variety and its color mutations are authorized for use in the production of fortified vin doux naturels in Rivesaltes and Banyuls within the Roussillon region?,Grenache noir and its gris and blanc forms,Grenache (Garnacha) and its color mutations including grey Grenache (Grenache Gris) and white Grenache (Grenache Blanc),0.72,"Grenache is the primary red grape variety authorized in Rivesaltes and Banyuls VDN production, with grey and white mutations permitted as color variants, though I'm less certain about the complete specificity of which mutations are officially authorized versus simply tolerated.",False,0.412,True,2229,163,128,,fail
20074207-c1da-437b-9a3e-d6830acd000a,WB-GRP-0221-L2,2,Which appellation in the Loire Valley mandates the use of Chenin blanc for the production of its sweet white wines and is situated within the Anjou subregion?,Bonnezeaux,Quarts de Chaume,0.75,"Quarts de Chaume is a prestigious sweet wine appellation within Anjou in the Loire Valley that is known for requiring Chenin Blanc and producing botrytized dessert wines, though I have some uncertainty about whether this is the specific appellation being referenced versus others like Bonnezeaux or Coteaux du Layon.",False,0.231,True,2091,157,116,,pass
2102c411-6389-43ac-86ea-523139ce8f7c,WB-GRP-0201-L1,1,"Given the fact, a producer working with Tempranillo would be operating in which country?",Spain,Spain,0.95,"Tempranillo is the primary red wine grape variety of Spain, most famously associated with regions like Rioja and Ribera del Duero, though it is also grown in other countries like Portugal and Argentina.",True,1.0,True,1793,140,81,,fail
3416ce5b-3ddd-4a1a-9b7e-a9c2411a4d1e,WB-GRP-0202-L1,1,"Given the fact, a producer working with Red Blend would be operating in which country?",Spain,United States,0.72,"Red Blend is a common wine category designation primarily used in the United States wine industry, particularly in California, though it can appear in other countries; however, it's most strongly associated with American wine labeling practices.",False,0.111,True,1686,139,80,,pass
2bb4146a-92c3-4e84-9b40-396cd05eb36e,WB-GRP-0203-L1,1,"A new producer seeks advice on a proven region for Garganega. According to the fact, which wine region fits?",Veneto,"Veneto, Italy (specifically Soave)",0.92,"Garganega is the primary white grape variety of Soave, a renowned wine region in the Veneto region of northeastern Italy, making it the most proven and established region for this varietal.",True,1.0,True,1800,146,86,,fail
99d9a63b-91c6-4d24-bd23-6f32fc5c18ee,WB-REG-0173-L1,1,The fact assigns the Manton Valley AVA to which US state?,California,California,0.35,"I have low confidence in this answer because while I'm aware of many California AVAs, I cannot reliably recall specific details about a 'Manton Valley AVA' and am uncertain whether it exists or which state it would be in.",True,1.0,True,1674,136,85,,fail
4158a6b3-8fd5-4851-bff1-6d65fe410376,WB-REG-0175-L1,1,The fact assigns the Diamond Mountain District AVA to which US state?,California,California,0.85,"Diamond Mountain District is a well-known AVA located in Napa County, California, primarily known for Cabernet Sauvignon production in the mountainous terrain northeast of the Napa Valley floor.",True,1.0,True,1342,135,79,,fail
12bd8eed-dd9e-4a15-b89e-3f8c610a6f1a,WB-GRP-0250-L2,2,"A winegrower is evaluating two American Viticultural Areas for varietal plantings. One AVA sanctions Petite Sirah among its permitted grapes, while the other sanctions Chardonnay. Which pairing correctly matches each grape to the AVA that permits it?",Petite Sirah → Manton Valley AVA; Chardonnay → Willamette Valley AVA,I cannot provide a definitive pairing without knowing which specific AVAs are being referenced in the answer choices.,0.3,"While both Petite Sirah and Chardonnay are grown in various American AVAs, the question requires matching specific AVAs to these grapes, and without seeing the answer options provided, I cannot accurately determine which pairing is correct.",False,0.207,True,3854,182,107,,warn
c3f3cb04-0d4a-47ce-b558-26a5b58f4224,WB-REG-0176-L1,1,"Per the fact, the Bolgheri Superiore wine region is situated in which country?",Italy,Italy,0.95,"Bolgheri is a renowned wine region located in Tuscany, Italy, famous for its Super Tuscan wines produced in the coastal area of the Livorno province.",True,1.0,True,1572,141,72,,fail
457007b6-332d-4073-a526-cb79125a3477,WB-REG-0177-L1,1,"Per the fact, the Central Spain wine region is situated in which country?",Spain,Spain,0.95,"Central Spain is a geographic region within Spain, and wine regions are named after their geographic locations, so Central Spain wine region is situated in Spain.",True,1.0,True,1265,136,64,,fail
643eb8af-7b7c-47ce-ae8a-fe96cd08c6a6,WB-REG-0185-L2,2,Identify the broader region containing Elba Aleatico Passito.,Tuscany,"Tuscany, Italy",0.85,"Elba Aleatico Passito is a sweet wine produced on the island of Elba, which is located off the coast of Tuscany in Italy, and Aleatico is a grape variety traditionally associated with Tuscan wine regions.",True,1.0,True,1400,138,93,,fail
d62f7b49-0526-4e50-8f77-4a5b76f70768,WB-PRD-0200-L1,1,"A buyer plans to import wines directly from the estate Grafen Neipperg. Per the fact, which country's export procedures should they follow?",Germany,Germany,0.75,"Grafen Neipperg is a known wine estate in the Württemberg region of Germany, so imports from this estate would follow German export procedures.",True,1.0,True,1275,152,67,,warn
cf5b541f-a914-4cda-9c70-61aa64c45d2d,WB-PRD-0201-L1,1,"A buyer plans to import wines directly from the estate Schloss Vollrads. Per the fact, which country's export procedures should they follow?",Germany,Germany,0.95,"Schloss Vollrads is a renowned wine estate located in the Rheingau region of Germany, specifically in Oestrich-Winkel, making German export procedures applicable.",True,1.0,True,1524,152,75,,fail
ddbf6ee0-5f05-4dcf-9702-2acec56cc7bd,WB-PRD-0203-L1,1,"Per the fact, the wine estate Grafen Neipperg is located in which country?",Germany,Austria,0.72,"Grafen Neipperg appears to be an Austrian wine estate based on the 'Grafen' (Count) prefix and Neipperg surname, which are associated with Austrian nobility and wine regions, though I cannot be entirely certain without verification.",False,0.143,True,1488,141,88,,warn
e69ff6d8-57df-4bca-8dcc-07474bdcb29e,WB-PRD-0204-L1,1,The fact places Marqués de Cáceres in which country?,Spain,Spain,0.95,"Marqués de Cáceres is a well-known Spanish wine producer located in the Rioja region, specifically in the town of Cáceres in northern Spain.",True,1.0,True,1130,136,72,,fail
dffb7462-9895-4f2b-abd6-08b4af2c6dd9,WB-PRD-0202-L1,1,A retailer preparing a country-of-origin label for Marqués de Cáceres wines checks the fact. Which country applies?,Spain,Spain,0.95,"Marqués de Cáceres is a well-known Spanish wine producer located in the Rioja region of Spain, established in 1970.",True,1.0,True,1890,150,67,,fail
f0b930b0-3d02-48a3-a90e-e27884ce875a,WB-PRD-0205-L1,1,"Per the fact, the wine estate Schloss Vollrads is located in which country?",Germany,Germany,0.95,"Schloss Vollrads is a famous wine estate in the Rheingau region of Germany, known for producing high-quality Riesling wines.",True,1.0,True,1455,141,69,,fail
902a180b-c693-4b9e-88de-3cf57c39be51,WB-BIZ-0169-L2,2,Which Italian wine region is associated with a single DOCG designation known for a red wine made primarily from Grenache?,Sardinia,Cannonau di Sardegna,0.72,"Cannonau is Sardinia's primary DOCG designation for a red wine made from Grenache (locally called Cannonau), and it's one of the few Italian regions with a single dominant DOCG associated with Grenache-based wine.",False,0.429,True,1809,146,99,,warn
dfcf5532-9317-4400-afda-4c8eb13569fe,WB-GRP-0252-L2,2,Two California AVAs each sanction a different red grape in their approved plantings: one allows Petite Syrah while the other allows Cabernet Franc. Which pairing correctly matches each AVA to the grape it permits?,Calistoga AVA — Petite Syrah; Malibu-Newton Canyon AVA — Cabernet Franc,I cannot confidently match specific California AVAs to these particular grape restrictions,0.25,"While I know both Petite Syrah and Cabernet Franc are grown in California, I lack reliable knowledge of which specific AVAs have these as sanctioned/approved plantings in their regulations, and the question's premise (that one AVA allows only Petite Syrah and another only Cabernet Franc) may not reflect actual AVA regulations which typically allow multiple varieties.",False,0.248,True,2303,170,131,,warn
2338c27b-7dfe-42a4-a299-8762c48e7ff4,WB-GRP-0251-L2,2,"This red grape variety played a significant role in revitalizing viticulture in southern Italian regions such as Apulia and Campania in the aftermath of World War II, largely thanks to its generous productivity and its suitability for mechanized vineyard work. Which grape is being described?",Barbera,Primitivo,0.65,"Primitivo is a red grape native to southern Italy (particularly Apulia/Puglia) known for high productivity and robustness, making it suitable for post-WWII vineyard reconstruction and mechanization, though I'm not entirely certain this is the specific grape being referenced for this historical role.",False,0.125,True,1681,182,102,,pass
7cc12e8a-699a-4db7-b315-854ea5ee2f7c,WB-BIZ-0171-L2,2,A flagship wine industry initiative in a major Southern Hemisphere producing country has achieved substantial reductions in electricity and gas use through the adoption of a renewable energy source derived from subsurface heat. Which energy source enabled these efficiency gains?,Geothermal energy,Geothermal energy,0.72,"The description of 'subsurface heat' as a renewable energy source used by a Southern Hemisphere wine region (likely New Zealand or Australia) to reduce electricity and gas consumption points to geothermal energy, which is particularly viable in geologically active regions and has been adopted by wine producers for heating and cooling applications.",True,1.0,True,1750,167,106,,fail
87d9cf7e-73b5-428e-be6c-d9fbbb7c1889,WB-GRP-0227-L2,2,"In Canada during the 1990s, wider planting of which kind of grape increased the range of varieties that could be damaged by frost?","Vitis vinifera, the European grape group","Vitis vinifera (or specific varieties like Pinot Noir, Chardonnay, or other European wine grapes)",0.6,"During the 1990s, Canadian wine regions expanded plantings of European vinifera varieties which are more frost-sensitive than the hardy hybrid and native grapes previously grown, thereby increasing vulnerability to frost damage in Canada's cold climate regions.",False,0.5,True,2026,150,112,,warn
dec17551-378a-4d18-8657-b157f694b663,WB-GRP-0254-L2,2,"Which of these American Viticultural Areas allows the use of a late-ripening red grape variety known for deep color and tannic structure, rather than a widely planted white variety associated with cool-climate vineyards?",Malibu-Newton Canyon AVA,I cannot determine the specific AVA from this question,0.3,"The question references 'these American Viticultural Areas' but no list of options was provided, making it impossible to identify which specific AVA is being asked about; while I understand the contrast between late-ripening red varieties (like Cabernet Sauvignon) and cool-climate whites (like Riesling or Pinot Grigio), without the multiple choice options, I cannot select the correct answer.",False,0.256,True,2296,167,133,,pass
68899e49-355d-415c-9c41-1524d2e10bdb,WB-GRP-0260-L2,2,"A winemaker in a major Australian wine-producing area is planning the next vintage and reviewing regional characteristics. The region is known for producing wines with a balanced interplay between natural acidity and fruit expression. The primary grape varieties cultivated locally include a mix of both red and white types, with significant plantings of internationally recognized black and white varieties. Additionally, this region frequently receives grape shipments from neighboring inland zones within New South Wales—such as one located in a high-altitude volcanic area, another in a dry inland basin, and others in elevated, cool-climate districts—all of which are often labeled under a broad geographic designation due to regulatory flexibility. Given these conditions, which of the following decisions would best align with both the region’s viticultural practices and its wine style reputation?",Sourcing a portion of Chardonnay and Cabernet Sauvignon from nearby inland regions and blending them under a general geographic label to maintain consistency and volume,"Focus on cool-climate viticulture practices that emphasize natural acidity retention, potentially blending fruit from multiple NSW inland sources under a regional appellation to create balanced, food-friendly wines that showcase both structure and fruit expression",0.45,"The description strongly suggests the Hunter Valley region of NSW, known for balanced acidity and Semillon/Shiraz, with access to fruit from nearby regions (Mudgee, Orange, Brokenwood areas), but the question's phrasing is deliberately vague about what specific decision is being asked, making it difficult to identify the single 'best' choice among unstated options.",False,0.296,True,2727,282,162,,fail
452ab28d-5083-4498-80f9-3daeb09245cc,WB-PRD-0217-L2,2,A Bordeaux estate known for making sweet white wine was listed as Premier Cru Classé in the 1855 classification and is located within which appellation of Gironde?,Sauternes,Sauternes,0.85,"The 1855 classification included a separate classification for sweet white wines from Sauternes and Barsac, with Premier Cru Classé estates like Château d'Yquem, and Sauternes is the primary appellation in Gironde known for this style of wine.",True,1.0,True,1514,161,103,,fail
9e45211c-74d1-4f4f-8fbd-d391178d9307,WB-PRD-0216-L2,2,"A Salta producer established two vineyard sites at about 2,250 meters and 3,000 meters above sea level. Which winery fits those elevations?",Bodega Colomé,Colomé,0.65,"Colomé is a well-known Salta winery famous for operating vineyards at extreme high elevations, including sites around 3,000 meters, which matches the profile of a producer with vineyard sites at approximately 2,250 and 3,000 meters above sea level.",True,1.0,True,1695,158,103,,fail
de4c2636-bc8f-4dbf-9ec1-0c76e83a45c3,WB-PRD-0212-L2,2,"A lightly sparkling rosé with a touch of residual sugar, bottled in a distinctive flask-shaped container, hails from which country?",Portugal,Italy,0.72,"The description of a lightly sparkling rosé with residual sugar in a distinctive flask-shaped bottle most closely matches Moscato d'Asti or similar Italian sparkling wines, though the flask shape is somewhat ambiguous and could also suggest other regions like France or Spain.",False,0.462,True,1826,152,93,,pass
bf927237-7d08-4f2b-9058-b34b8965cebb,WB-REG-0200-L2,2,"The traditional, historical growing area for Soave Classico DOC is defined by the territory surrounding which two specific municipalities?",Soave and Monteforte d'Alpone,Soave and Monteforte d'Alpone,0.75,"Soave Classico is the historic core of the Soave wine region in Veneto, Italy, and is traditionally centered around the municipalities of Soave and Monteforte d'Alpone, which are the two main towns that define the classical production area.",True,1.0,True,1978,147,108,,fail
33868118-b914-46c8-aa9d-086757bde651,WB-REG-0197-L2,2,"Which wine-producing area in South Australia is positioned on flat terrain southeast of Strathalbyn, adjacent to the final stretches of the Bremer River?",Langhorne Creek,Langhorne Creek,0.72,"Langhorne Creek is a well-known South Australian wine region located southeast of Strathalbyn on relatively flat terrain near the Bremer River, known historically for Shiraz production.",True,1.0,True,1232,155,80,,fail
6f97b054-8cb4-42f4-b602-4e3a801ae5b2,WB-BIZ-0174-L2,2,"Although it is a French phrase, ""Vin de glace"" does not exist as an official category in France, but it is formally integrated into the national wine classification of which country?",Luxembourg,Canada,0.75,"Vin de glace (ice wine) is produced in Canada, particularly in Ontario and British Columbia, where it has become an officially recognized and regulated category in the national wine classification system, making Canada famous for this style despite the French terminology.",False,0.0,True,1771,160,85,,pass
6c609013-5dd0-41bb-9ca8-fef4e4bca667,WB-REG-0220-L2,2,"When evaluating the maturation rules for specific Italian appellations, one requires a baseline of 35 months of cellar time (including two years in barrel), whereas another demands at least 36 months specifically for its Riserva tier. Which appellation dictates the 35-month baseline?",Gattinara,Barolo,0.72,"Barolo has strict aging requirements of 38 months total (with minimum 2 years in barrel) for regular Barolo and 3 years for Riserva, though I'm less certain about the exact 35-month baseline mentioned; Brunello di Montalcino requires 5 years for Riserva, making Barolo the more likely candidate for the 35-month rule among major Italian appellations.",False,0.267,True,12053,184,132,,pass
30451a8d-177c-462d-9640-d7aeeb48937a,WB-BIZ-0173-L2,2,"Encompassing roughly 955,000 hectares of planted vines, which country contains the most extensive total viticultural surface on earth?",Spain,Spain,0.75,"Spain is widely recognized as having the largest vineyard area in the world by total hectares planted, though France and Italy produce more wine by volume; the figure of approximately 955,000 hectares aligns with Spain's known viticultural extent.",True,1.0,True,1890,151,87,,fail
c51f2e6c-01b2-45e4-b01b-8115bbec4ca3,WB-GRP-0207-L2,2,Which of the following grape varieties is described in some sources as a lesser-known red wine cultivar sharing a name with a more widely recognized aromatic white grape grown in South America?,Torrontés,Torrontés,0.35,"Torrontés is a well-known aromatic white grape from South America (particularly Argentina), but I'm uncertain whether there is actually a lesser-known red wine cultivar that shares this name, making this a low-confidence guess based on the name-sharing criterion alone.",True,1.0,True,1895,158,95,,warn
df587ccc-5450-4e43-9f27-c8769ab1f696,WB-PRD-0213-L2,2,In which Médoc commune is the Bordeaux estate Château d'Angludet located?,Cantenac,Margaux,0.75,"Château d'Angludet is a well-known Bordeaux estate that I recall being located in the Margaux commune of the Médoc, though I am not entirely certain of this classification.",False,0.267,True,3971,143,81,,fail
872255fe-daa7-464c-935b-62d57a38a59b,WB-VIT-0216-L2,2,"One of these two regions is identified by a maritime Mediterranean profile and is noted as the coolest winegrowing area in its state, with a bit less rain than Margaret River. The other is associated instead with vineyard limits caused by spring frost farther west, which helped shift development toward its northern sector. Which region matches the cooler maritime description?",Great Southern,Margaret River,0.35,"The question contrasts two regions, one with maritime Mediterranean profile that is cooler and drier than Margaret River, and another with spring frost issues; however, I cannot confidently identify which Australian wine region matches the cooler maritime description without external reference, as both descriptions could apply to various regions in Western Australia or South Australia.",False,0.5,True,2064,192,102,,warn
871b097e-e14d-47fb-b656-1cea39fba524,WB-VIT-0217-L2,2,"Which entity is identified by this clue set: it is described through a local growing environment shaped by sun-exposed southern hillsides and the nearby influence of two rivers, rather than by an 18th-century vineyard ranking system tied to soil, light exposure, and suitability for botrytis?",Tokaj wine region,Douro Valley (or a specific Douro wine region),0.35,"The clue contrasts modern terroir description (sun-exposed hillsides, river influence) with an 18th-century ranking system tied to soil and botrytis suitability, which strongly suggests Sauternes' 1855 classification, but the answer appears to be asking for a region that explicitly rejects such ranking—possibly Douro with its two rivers (Douro and tributaries) and southern exposure, though I'm uncertain if this matches the specific clue set intended.",False,0.452,True,2543,186,153,,warn
e44b8784-016f-4db9-9926-630809154d28,WB-WMK-0200-L2,2,Which of these grape varieties is used to produce a DOC wine with a minimum 85% varietal requirement?,Glera,I cannot provide a reliable answer without seeing the list of grape varieties provided in the question,0.2,"The question references 'these grape varieties' but no options were provided, making it impossible to identify which specific variety meets the DOC 85% requirement without guessing randomly among potentially dozens of Italian DOC wines with such requirements.",False,0.075,True,1949,144,98,,fail
de62825e-ac6c-4a3c-862a-14c785ae4c1c,WB-WMK-0203-L2,2,Which German wine category allows chaptalization but requires the wine to be fermented dry if chaptalized?,QbA,Kabinett,0.35,"I recall that German wine categories have specific rules about chaptalization and residual sugar, but I'm uncertain whether Kabinett specifically requires dry fermentation if chaptalized, or if this rule applies to another category like Spätlese or a lower quality tier—my knowledge of these precise regulatory distinctions is not reliable enough for high confidence.",False,0.182,True,1746,143,111,,warn
8ddf7d9d-01c6-4d39-ab86-8fc6a3894b64,WB-GRP-0239-L2,2,"One AVA in this pair allows Cascade, while the other allows Chardonnay. Which option matches these permitted-grape pairings correctly?",Willamette Valley AVA — Cascade; Mt. Harlan AVA — Chardonnay,I cannot reliably answer this question,0.25,"While I know Cascade is a hop variety and Chardonnay is a grape variety (making the pairing premise unusual), I lack reliable knowledge of specific AVA regulations that would permit hops in one region and Chardonnay in another, and cannot confidently match these to specific AVA pairs without risking an incorrect answer.",False,0.163,True,2315,153,112,,pass
239d19b8-5919-411e-a722-64556ba707cf,WB-VIT-0185-L2,2,In which part of Mendocino County is the proposed viticultural area known as 'Redwood Valley' located?,Central Mendocino County,Eastern Mendocino County,0.6,"Redwood Valley is a known wine region in Mendocino County that I believe is located in the eastern/inland portion of the county, though I'm not entirely certain of the precise directional designation.",True,0.792,True,4020,148,83,,pass
3bf49a22-b82d-4239-a490-2bf37806ea61,WB-WMK-0201-L2,2,Which Italian appellation requires wines to have a residual sugar content between 12 and 17 grams per liter for its Extra Dry style?,Prosecco DOC,Prosecco,0.75,"Prosecco is known for its Extra Dry style with specific residual sugar requirements, and the 12-17 g/L range aligns with my recollection of Prosecco's Extra Dry classification, though I'm not entirely certain of the exact numerical boundaries.",True,1.0,True,2195,154,98,,warn
dd39b189-3ff5-48db-b9f8-bb57dc417b2a,WB-GRP-0242-L2,2,Which entity permits the use of up to 30% white grape varieties in its wines?,Abruzzo wine region,Champagne,0.35,"I recall that Champagne has specific regulations about grape varieties, but I'm uncertain whether the 30% white grape threshold is accurate or if this refers to a different wine region's rules, as my knowledge of the precise percentages allowed for different grape types in various appellations is limited.",False,0.214,True,2741,139,96,,pass
