fact_id,domain,subdomain,fact_text,ok,world_solvable,confidence,candidate_question,candidate_answer,reasoning,latency_ms,input_tokens,output_tokens,error
0b16bb6f-1ccc-45a4-a462-748ed4abd949,wine_regions,us_avas,The Sierra Foothills AVA was established in 1987 in California.,True,False,0.15,In what year was the Sierra Foothills AVA established?,1987,The specific establishment year of a regional AVA is regulatory minutiae that most LLMs would not reliably know without explicit training on wine administrative history.,1804,279,105,
0cb6a076-590b-4ab7-a41f-d0678b05b378,wine_regions,italian_regions,The Liguria region of Italy does not have any DOCG appellations.,True,False,0.15,How many DOCG appellations does the Liguria region of Italy have?,Zero (or none),"While a strong LLM might know Liguria is a minor Italian wine region, the precise fact that it has zero DOCG appellations (rather than one or more) is regulatory minutiae unlikely to be reliably retained in general training data.",2013,278,131,
0948d30c-6d18-4666-bc2c-400edcb2a4bb,grape_varieties,usa,San Bernabe AVA permits the Chardonnay grape variety.,True,False,0.15,Which grape varieties are permitted in the San Bernabe AVA?,Chardonnay (and potentially others),"San Bernabe AVA is a small, relatively obscure California wine region, and specific permitted grape varieties for niche AVAs are regulatory minutiae unlikely to be in general training data unless extensively documented in wine literature.",2563,277,126,
0b6dbb19-c2ba-4570-a168-57377c84db36,winemaking,italy,All Chianti Classicos must be held back until 1 October in the year following the vintage.,True,False,0.15,When must Chianti Classico wines be released to the market at the earliest?,1 October in the year following the vintage,"This specific release date regulation is a precise regulatory detail that most LLMs would not reliably know without explicit training on Italian wine law minutiae, though some might guess a general aging requirement exists.",2326,284,125,
0b3e297e-a381-4829-8f89-55a6741fb311,winemaking,eu_regulations,"In the methode ancestrale (ancestral method), the disgorgement step is skipped and the wine is sold with the lees still present as sediment in the wine.",True,False,0.25,What is the key distinguishing characteristic of méthode ancestrale compared to méthode champenoise?,"In méthode ancestrale, the disgorgement step is skipped and the wine is sold with the lees still present as sediment, whereas méthode champenoise involves disgorgement to remove the lees.","While méthode ancestrale is a recognized sparkling wine category, the specific technical detail about skipping disgorgement and retaining lees is niche regulatory/production knowledge that most LLMs would not reliably distinguish from other méthode variants without explicit training on this fact.",2543,298,185,
0c5a66ee-5ddc-44df-849c-c4b613be877a,grape_varieties,australia_nz,"In the Roussillon region, Grenache noir and its gris and blanc mutations are used in the production of the fortified vin doux naturels of Rivesaltes, Banyuls.",True,False,0.25,Which grape varieties are used to produce the fortified wines of Rivesaltes and Banyuls in Roussillon?,Grenache noir and its gris and blanc mutations,"While Grenache is famous and Rivesaltes/Banyuls are known fortified wines, the specific detail that all three Grenache mutations (noir, gris, blanc) are used together in these particular appellations is regulatory minutiae that most LLMs would not reliably know without training on detailed French wine law.",2402,306,167,
0cff5e83-b7af-47bc-b6b4-6fd18e17bf24,wine_regions,italian_appellations,Valtellina Superiore Riserva requires a minimum of 36 months aging.,True,False,0.15,What is the minimum aging requirement for Valtellina Superiore Riserva?,36 months,This is a specific regulatory requirement for a niche Italian wine classification that would not be part of general wine knowledge and requires precise recall of Italian DOCG aging rules.,1504,283,115,
0dd2b461-7c52-4baf-bba5-7acc4bd06c46,viticulture,usa,"Light and signed by 20 growers, winemakers, proposing a viticultural area within central Mendocino County known as ""Redwood Valley.",True,True,0.85,Redwood Valley is a viticultural area located in which California county?,Mendocino County,"Redwood Valley is a recognized AVA in Mendocino County that appears in standard wine geography references and would be known to wine-educated LLMs, though some uncertainty exists around whether all LLMs have equally robust knowledge of smaller California AVAs.",2276,297,133,
1002e106-712d-4c9d-9971-0ff2f6fb8b81,grape_varieties,usa,Yucaipa Valley AVA permits the Malbec grape variety.,True,False,0.15,Which grape varieties are permitted in the Yucaipa Valley AVA?,Malbec (among others),The specific permitted varieties for a minor California AVA represent regulatory minutiae that would not be part of general wine knowledge and requires access to official AVA regulations or this specific fact.,1608,278,117,
0fefd1e9-fa51-4bd9-b298-dcc241d30971,producers,bordeaux,Château Villemaurine is a classified Bordeaux estate in Saint-Émilion.,True,False,0.15,"Is Château Villemaurine a classified estate in Saint-Émilion, Bordeaux?",Yes,"While Saint-Émilion classification exists in general knowledge, whether this specific château holds classified status requires knowledge of the particular 1955 Saint-Émilion Classification list, which is niche regulatory detail unlikely to be reliably retained by most LLMs.",1914,283,138,
10b2b8f3-9c22-4caa-9641-fc4ddc6a1abf,wine_business,oiv_standards,OIV resolutions adopted by consensus become non-binding recommendations that many countries incorporate into their national wine legislation.,True,False,0.15,"What is the binding status of OIV resolutions adopted by consensus, and how do countries typically treat them?",OIV resolutions adopted by consensus are non-binding recommendations that many countries incorporate into their national wine legislation.,The specific regulatory mechanism—that OIV consensus resolutions are non-binding yet widely adopted into national law—is a precise institutional detail unlikely to be reliably known by most LLMs without specialized wine governance training.,1822,284,148,
0e0a8f45-8abb-421f-9132-3064f18bca2c,wine_regions,germany,German wine 6 of the 13 regions (Anbaugebiete) for quality wine are situated.,True,False,0.15,How many of Germany's 13 quality wine regions (Anbaugebiete) are situated in the Rhine region?,6,"While LLMs know Germany has 13 Anbaugebiete and that the Rhine is important for German wine, the precise count of 6 Rhine-region Anbaugebiete is a specific regulatory/geographic fact unlikely to be reliably recalled without the source material.",2786,287,148,
0f9f2530-8b6f-4fe2-8f99-520e97da7abc,viticulture,terroir_climate,Climate change induces major changes in wine typicity due to its impact on berry composition at harvest.,True,True,0.85,How does climate change affect wine typicity?,Climate change induces major changes in wine typicity by impacting berry composition at harvest.,"A strong LLM would likely know that climate change affects grape ripening, sugar/acid balance, and phenolic development, which are foundational wine science concepts widely discussed in general training data, though the specific causal mechanism stated here is somewhat specialized.",2290,281,136,
11433f63-db2d-4419-9ade-d35da3fe5481,wine_business,spain,"Penedès DOP holds Cosecha, Crianza, Reserva, Gran Reserva classification.",True,False,0.25,Which aging classifications does Penedès DOP use?,"Cosecha, Crianza, Reserva, and Gran Reserva","While strong LLMs know that Spanish DOP regions use these aging categories generically, the specific classification system adopted by Penedès is regulatory minutiae that requires either specialized wine knowledge or exposure to this particular fact.",3010,286,132,
11c1d41f-93ff-4024-8297-367ee5e0aae8,viticulture,hungary,"The microclimate is determined by the sunny, south-facing slopes and the proximity of the Tisza and Bodrog rivers.",True,False,0.25,Which two rivers influence the microclimate of the Tokaj wine region through their proximity to its south-facing slopes?,The Tisza and Bodrog rivers,"While Tokaj is famous and the rivers are real geographic features, the specific claim that these two rivers determine the microclimate requires local/specialized knowledge that most LLMs would not reliably retrieve without the fact being provided.",2246,289,139,
0ec9dfa0-220a-4216-9a64-563bc47125eb,wine_regions,us_avas,"The Middleburg, Virginia AVA was established in 2012 in Virginia.",True,False,0.15,"In what year was the Middleburg, Virginia AVA established?",2012,"The specific establishment year of a relatively small, regional AVA is niche regulatory data unlikely to be retained in general LLM training unless the region achieved notable prominence.",3869,280,109,
12f3e125-02a0-44d9-9bd5-661202955bbe,grape_varieties,australia,The wines here are known for the balance of their natural acidity and fruit.,True,False,0.95,Which region is known for wines that balance natural acidity and fruit?,"The fact does not specify a region, making this unanswerable","The fact omits the geographic location entirely, so no LLM could identify which specific region is being referenced without additional context.",1907,277,112,
138f6785-3d01-42b2-92b2-bb024f6b2f25,wine_regions,austria,"Wines carrying the name of a grape variety or a vintage year must be composed of at least 85% of that grape or vintage, respectively.",True,False,0.15,What is the minimum percentage of a named grape variety that must be present in a wine labeled with that variety's name?,85%,"While wine professionals may know approximate blending rules, the precise 85% threshold is a specific regulatory requirement that varies by region and is not universally known general knowledge.",1771,291,118,
11c8a1e0-592e-4aa4-a87e-21977ad29ebc,wine_business,england,English regional wine is registered as a Protected Geographical Indication (PGI) in the EU and the UK.,True,False,0.25,What geographical indication status does English regional wine hold in the EU and UK?,Protected Geographical Indication (PGI),"While LLMs know PGI exists as a EU/UK classification system, the specific claim that English regional wine holds PGI status (rather than PDO or other designations) is regulatory minutiae that would require either specific training data or the provided fact.",2333,285,137,
126dee53-8030-4d64-9dfd-d1e5a0f18abf,grape_varieties,england,Bacchus (grape) does not always make it very well suited for varietal wines under typical German growing conditions.,True,False,0.25,Why is Bacchus grape not typically used for varietal wines in Germany?,Bacchus does not perform well enough under typical German growing conditions to make high-quality varietal wines.,"While Bacchus is a known German hybrid grape, the specific claim about its unsuitability for varietal wines under typical German conditions is a niche technical assessment that goes beyond general wine knowledge and would require specialized viticulture expertise or direct familiarity with this particular grape's performance data.",2405,285,155,
1365b920-eca5-458d-866c-ae55cffea080,wine_business,georgia,"A year earlier, the Russian Duma had demanded a ban on Moldovan wine imports, because Moldova was considered to pursue anti-Russian policies.",True,False,0.15,Why did the Russian Duma demand a ban on Moldovan wine imports?,Because Moldova was considered to pursue anti-Russian policies,This requires knowledge of a specific geopolitical incident and regulatory action that is neither widely-known wine knowledge nor part of standard general training about Moldova-Russia relations at a level of detail that would reliably produce this exact causal claim.,2421,292,133,
149f8f57-2621-422f-a5d5-e175ed0575b3,wine_regions,canada,Cabernet Franc is commonly produced in the British Columbia region of Canada.,True,False,0.25,Which wine grape is commonly produced in the British Columbia region of Canada?,Cabernet Franc,"While British Columbia is known for wine production, the specific association of Cabernet Franc as a commonly produced grape there is not widely established general knowledge—BC is better known for Pinot Noir, Chardonnay, and Merlot, making this a niche regional fact.",1931,277,139,
158ac62c-343a-4826-b5d4-4d012291587d,producers,bordeaux,Château Laniote is a classified Bordeaux estate in Saint-Émilion.,True,False,0.15,What classification does Château Laniote hold in Saint-Émilion?,Château Laniote is a classified Bordeaux estate,"While a strong LLM might know Saint-Émilion has a classification system, identifying the specific classification status of a particular mid-tier château requires knowledge of the official Saint-Émilion classification list, which is niche regulatory data unlikely to be reliably in training data.",1875,282,149,
16fda678-de4e-44ca-9fc3-6e811405ba83,producers,bordeaux,Château la Marzelle is a classified Bordeaux estate in Saint-Émilion.,True,False,0.15,Is Château la Marzelle a classified Bordeaux estate in Saint-Émilion?,Yes,"While a strong LLM would know Saint-Émilion is a prestigious Bordeaux region with classified estates, identifying whether this specific château holds classified status requires knowledge of the particular 1955 Saint-Émilion Classification, which is niche regulatory data unlikely to be reliably in training data.",1866,283,146,
1843ece8-06b2-4450-99a5-ffc42d8f83f3,wine_business,eu_regulations,"Wine classification is a ""declaration of joint principles stating the importance of location to wine and the need to protect place names"".",True,False,0.25,What is a key principle underlying wine classification systems?,Wine classification emphasizes the importance of location/place to wine and the need to protect place names,"While LLMs know that location matters in wine (terroir), this specific formulation as a 'declaration of joint principles' appears to reference particular regulatory language that would require exposure to the exact source document rather than general wine knowledge.",1919,286,135,
192c9be6-51bb-48da-993c-4e4ea85b46ee,wine_regions,chile,Pinot Noir is commonly produced in the Bío Bío Valley region of Chile.,True,False,0.25,Which Chilean wine region is known for Pinot Noir production?,Bío Bío Valley,"While Pinot Noir production in Chile is general knowledge, the specific association with Bío Bío Valley (rather than more famous regions like Casablanca or San Antonio) is niche regional knowledge that most LLMs would struggle to reliably answer without explicit training on Chilean wine geography.",1569,282,142,
15db81b0-5333-43a5-8644-06ee4f63b127,grape_varieties,usa,Calistoga AVA permits the Petite Syrah grape variety.,True,False,0.15,Which grape varieties are permitted for cultivation in the Calistoga AVA?,Petite Syrah (among others),"While Calistoga is a well-known California wine region, the specific regulatory details of which grape varieties are permitted in its AVA designation are regulatory minutiae that would not be reliably known by most LLMs without specialized wine law training.",2243,278,134,
190c762c-f81e-4296-9852-94ce8efec48b,grape_varieties,italy,Barbera was an important grape in re-establishing the wine industry of the Apulia and Campania regions following World War II due to its high yields and easy adaption to mechanical.,True,False,0.25,"Which grape variety played a key role in revitalizing the wine industries of Apulia and Campania after World War II, particularly due to its high yields and mechanical harvestability?",Barbera,"While Barbera is a well-known Italian grape, the specific historical claim about its role in post-WWII reconstruction of these particular regions is a niche historical detail unlikely to be reliably recalled by most LLMs without explicit training on this fact.",2051,302,155,
1973d135-4727-48c3-9b95-8a166df4349c,wine_business,global_statistics,"Spain has the largest vineyard area in the world with approximately 955,000 hectares.",True,True,0.85,Which country has the largest vineyard area in the world?,Spain,"Spain's position as the world's largest vineyard area by acreage is well-established wine knowledge, though the precise hectare figure (955,000) would be harder to recall exactly.",1861,281,111,
1bf58340-8cdf-4cba-94e3-440857666300,winemaking,south_america,Argentine wine requires careful handling during the winemaking process with temperature control during fermentation and a sensitivity to certain strains of yeast.,True,False,0.15,What are two key considerations in the winemaking process for Argentine wine?,Temperature control during fermentation and sensitivity to certain strains of yeast,"While general fermentation temperature control and yeast selection are universal winemaking principles, the claim that Argentine wine specifically requires 'careful handling' and particular 'sensitivity to certain strains of yeast' is a specific assertion not widely documented in standard wine knowledge and appears to be niche or potentially questionable information.",1749,289,152,
1d758631-de3a-4c69-9f13-f814ba4dd077,producers,,The wine produced here was classified as one of eighteen Cinquièmes Crus in the Bordeaux Wine Official Classification of 1855. The name Haut-Bages-Libéral is derived from the estate's location and historical owner.,True,False,0.15,How many Cinquièmes Crus were included in the Bordeaux Wine Official Classification of 1855?,Eighteen,"While the 1855 Classification is famous, the precise count of eighteen Fifth Growths is a specific regulatory detail that most LLMs would struggle to recall accurately without the fact being provided.",1582,316,124,
1a9f08f2-443d-4ee5-8849-39af9ebc5387,viticulture,disease_management,"From summer through harvest, mark slightly symptomatic vines; reexamine for symptoms the following spring through late summer or fall and remove vines that have symptoms for a second year.",True,False,0.15,"What is the recommended protocol for identifying and removing diseased vines in a vineyard, including the timing of observation and removal criteria?","Mark slightly symptomatic vines from summer through harvest, reexamine them the following spring through late summer or fall, and remove only those vines that show symptoms for a second consecutive year.",This describes a specific vineyard management protocol with precise timing and a two-year confirmation requirement that is too detailed and niche to be reliably known from general training data without the source material.,2076,299,163,
1bc78820-77cc-417e-915b-fbe3e856bb85,wine_business,eu_regulations,Wine classification may be opened and used occasionally over a long period of time.,True,False,0.15,How frequently should an opened bottle of classified wine typically be used once it has been opened?,Occasionally over a long period of time,"This statement about wine classification storage practices is oddly phrased and appears to contain specialized or non-standard guidance that contradicts common wine knowledge (opened bottles typically degrade quickly), making it unlikely a strong LLM could confidently answer without the specific fact.",2428,276,138,
1ee3673b-ca85-42dd-8dee-e8fe61cee0eb,wine_regions,greece,Santorini is a Greek wine region located on the archipelago of Santorini in the southern Cyclades islands of Greece.,True,True,0.92,In which Greek island archipelago is the Santorini wine region located?,The Cyclades islands,"Santorini's location in the Cyclades is widely-known general knowledge about this famous Greek wine region and tourist destination, well within the training knowledge of strong LLMs.",2138,290,117,
1cc36199-41c5-4e2f-8c99-80cc1d66d541,viticulture,croatia,"== Wine regions ==

Croatia has three main wine regions: Eastern Continental (Istočna kontinentalna), Western Continental (Zapadna kontinentalna) and Coastal (Primorska).",True,False,0.15,What are the three main wine regions of Croatia?,"Eastern Continental (Istočna kontinentalna), Western Continental (Zapadna kontinentalna), and Coastal (Primorska)","While Croatia's wine regions are documented in wine literature, the specific three-way taxonomic division with Croatian names is regional/technical knowledge unlikely to be reliably recalled by most LLMs without explicit training on Croatian wine geography.",2754,303,142,
215cbf5d-4163-4567-9a56-aabcb443ac18,producers,,"Château Filhot, archaically named Maison Noble de Verdoulet, is a winery rated Deuxième cru classé in the Bordeaux Wine Official Classification of 1855, from the Sauternes appellation in Gironde.",True,False,0.15,What is the classification level of Château Filhot in the 1855 Bordeaux Wine Official Classification?,Deuxième cru classé (Second Growth),"While the 1855 Classification is famous, the specific ranking of individual châteaux like Filhot is specialized knowledge that most LLMs would struggle to recall accurately without training on comprehensive wine databases.",1565,321,137,
21c3a401-514e-47ec-be59-7c864dcd5622,producers,spain,Marqués de Cáceres is a wine producer in the Northern Spain region of Spain.,True,False,0.15,In which region of Northern Spain is Marqués de Cáceres located?,Marqués de Cáceres is a wine producer in the Northern Spain region of Spain.,"While Marqués de Cáceres is a known producer, the specific regional classification and exact location details are niche producer knowledge that most LLMs would struggle to answer with certainty without training on this specific fact.",1900,281,140,
21c051c0-e034-4225-b99a-423f4644adb2,viticulture,viticulture_general,"Sometimes canes are healthy enough to either retain as a trunk, or as a trunk and a semi-permanent/permanent portion of the future fruiting wood (before pruning in left photo; after pruning and training in right photo).",True,False,0.25,"In viticulture, what are canes sometimes retained as during pruning and training to serve as both immediate and future fruiting wood?",A trunk and semi-permanent/permanent portion of the future fruiting wood,This describes a specific pruning technique and terminology (retaining canes as trunk + semi-permanent fruiting wood) that is specialized viticultural practice knowledge unlikely to be reliably known by general LLMs without exposure to detailed viticulture training materials.,2116,310,154,
1d4b1d2d-4f58-43ea-867e-636ad85010af,wine_regions,south_america,"The most important wine regions of the country are located in the provinces of Mendoza, San Juan and La Rioja.",True,True,0.92,Which three provinces contain the most important wine regions of Argentina?,"Mendoza, San Juan, and La Rioja","Mendoza is extremely well-known as Argentina's premier wine region, and the association of these three provinces with Argentine wine is standard geographical knowledge taught in wine education and widely covered in wine literature.",4232,287,122,
228d3fa7-d6cb-4f2a-924d-c502717e719c,producers,germany,Grafen Neipperg is a wine producer in the Württemberg region of Germany.,True,False,0.15,In which German wine region is Grafen Neipperg located?,Württemberg,"Grafen Neipperg is a specific, relatively niche producer that most LLMs would not reliably know without explicit training data about this particular winery.",1599,281,111,
2224e9a7-112c-4f38-a15e-34656e119cd3,grape_varieties,australia_nz,"=== Spain === In Spain, Grenache is known as Garnacha (Garnatxa in Basque and Catalan) and given the likely history of the grape this is most likely the grape's original.",True,True,0.85,"What is Grenache called in Spain, and what does this naming suggest about the grape's origin?","Grenache is called Garnacha in Spain (Garnatxa in Basque and Catalan), and the name suggests Spain is likely the grape's original home.","The Spanish name 'Garnacha' for Grenache is well-established wine knowledge that strong LLMs would reliably know from training data, though the specific etymological claim about origin might be slightly less certain.",2266,309,163,
1ddd6dc6-e49f-40a6-9ed9-7fc071158f33,producers,hungary,"Therefore, wine producers from both the Hungarian Tokaj region and the Slovak Tokaj region may use the Tokaj brand name.",True,False,0.25,Which two countries' regions are permitted to use the Tokaj brand name for wine?,Hungary and Slovakia,"While Tokaj is a famous wine region, the specific regulatory detail that both Hungarian and Slovak producers can use the Tokaj name is a precise legal/administrative fact that most LLMs would not reliably know without explicit training on EU/wine law minutiae.",4363,289,134,
230d0f39-671f-49e0-9584-11d4260761fb,viticulture,usa,"The Borden Ranch viticultural area encompasses 70,000 acres (109 sq mi) with approximately 11,000+ acres (4,500+ ha) under vine.",True,False,0.95,Approximately how many acres of the Borden Ranch viticultural area are currently under vine?,"11,000+ acres (4,500+ hectares)",This specific acreage statistic for Borden Ranch is precise regulatory/local data that would not be part of general LLM training unless the model had encountered this exact fact during training.,2111,301,130,
23a9c71a-e7c1-4834-927f-e1c060d9a3f9,grape_varieties,usa,Sonoita AVA permits the Cabernet Franc grape variety.,True,False,0.15,Which grape varieties are permitted in the Sonoita AVA?,Cabernet Franc (among others),"Sonoita AVA is a small, niche Arizona wine region, and specific permitted grape varieties for obscure AVAs are regulatory minutiae unlikely to be in general LLM training data.",1967,277,121,
2472aac2-165b-46dd-a179-5c5b4afaf48d,viticulture,italy,The lesser zones of the generic Chianti appellation are predominantly clay.,True,False,0.25,What is the predominant soil composition in the lesser zones of the generic Chianti appellation?,Clay,"While general Chianti geography is well-known, the specific soil composition of lesser zones versus premier zones (like Chianti Classico) is regulatory/technical minutiae unlikely to be reliably retained in general LLM training data.",1639,276,129,
255da8b3-b107-4dc5-84ee-d3e6b23ba0c7,wine_regions,bordeaux,"Pessac-Léognan (French: [pɛsak leɔɲɑ̃]) is a wine growing area and Appellation d'Origine Contrôlée, in the northern part of the Graves region of Bordeaux.",True,True,0.92,In which region of Bordeaux is Pessac-Léognan located?,The Graves region,Pessac-Léognan is a well-known and prestigious wine appellation; its location within Graves is standard wine geography that would be in training data for strong LLMs.,1717,322,120,
2867a6d3-72c6-4b6d-8350-73b030f4acb0,grape_varieties,canada,"== Parentage ==

Vidal blanc is a complex, hybrid varietal cultivated from grapevines belonging to several different species within the genus Vitis.",True,True,0.85,What type of varietal is Vidal blanc?,A hybrid varietal cultivated from grapevines belonging to several different species within the genus Vitis,Vidal blanc's hybrid nature and multi-species parentage are well-documented in standard wine literature and would be known to strong LLMs from general training on viticulture.,1718,297,129,
28a9c1ad-da9d-4821-ac90-e8cc0fa595d2,winemaking,eu_regulations,"Though Franciacorta wines are made according to the traditional method, most Italian sparkling wines, in particular Asti and Prosecco, are made with the Charmat method.",True,True,0.92,Which method is primarily used to produce Prosecco and Asti sparkling wines?,The Charmat method,The association between Prosecco/Asti and the Charmat method is well-established wine knowledge taught in basic sommelier training and widely documented in wine references.,1885,302,118,
28f4c8af-3b8f-4835-bc75-71de7de24c82,grape_varieties,austria,"St. Laurent (grape) shows it is an offspring of Pinot noir and a second parent, possibly Savagnin.",True,False,0.15,What are the parent grapes of St. Laurent?,Pinot noir and possibly Savagnin,"While Pinot noir is famous, the specific parentage of St. Laurent and the identification of Savagnin as a possible second parent is specialized ampelographic knowledge that most LLMs would not reliably know without explicit training on wine genetics literature.",2213,288,132,
2c62aaad-339a-400a-8adb-fadfb3894160,grape_varieties,usa,Malibu-Newton Canyon AVA permits the Cabernet Franc grape variety.,True,False,0.15,Which grape varieties are permitted in the Malibu-Newton Canyon AVA?,Cabernet Franc,"Malibu-Newton Canyon is a niche, lesser-known AVA with specific regulatory details about permitted varieties that would not be part of general LLM training knowledge.",1765,280,117,
2c51f31a-6352-4c36-8a70-c80077007553,winemaking,production_rules,Prosecco DOC Extra Dry contains between 12 and 17 grams of residual sugar per liter.,True,False,0.15,How many grams of residual sugar per liter does Prosecco DOC Extra Dry contain?,Between 12 and 17 grams per liter,"While knowledgeable wine enthusiasts may know Extra Dry Prosecco is off-dry, the precise regulatory range (12-17 g/L) is specific technical/legal information unlikely to be reliably recalled by most LLMs without exposure to official EU/Italian wine regulations.",2121,289,156,
2ef03a11-cc21-4c07-8916-a53d3922fb24,viticulture,usa,The distinguishing features of the proposed Yucaipa Valley AVA include its elevation and climate.,True,False,0.15,What are the distinguishing features of the proposed Yucaipa Valley AVA?,Elevation and climate,Yucaipa Valley is a proposed (not yet established) AVA with specific regulatory details that would not be reliably known by general LLMs without access to current AVA petition documents or specialized wine regulatory databases.,1955,282,126,
2900f1cb-912c-4d2f-bcd3-ddd62955c1f8,winemaking,germany,"German wine classification must always include: 

Geographic information with either the country, the city or the exact site of the wine (depending on the quality).",True,False,0.25,"In German wine classification, what types of geographic information can appear on a label depending on the wine's quality level?","Country, city, or exact vineyard site (with more specific geographic detail required for higher quality wines)","While LLMs know German wine has geographic classifications, the specific regulatory requirement that geographic precision *increases* with quality tier is a regulatory detail that requires knowledge of German wine law (Prädikatswein system) rather than general wine knowledge.",2685,293,151,
2f9ead3e-a077-42ef-8061-e6853a6ca0c1,winemaking,champagne,Both oak and stainless steel are used for non-vintage wine.,True,True,0.92,What types of containers can be used for aging non-vintage wine?,Both oak and stainless steel,"The use of oak and stainless steel for wine aging is fundamental, widely-taught wine knowledge that any strong LLM would reliably know from general training on wine production methods.",1820,276,117,
30d7417b-ad5d-42fb-963b-6d2120f82745,winemaking,oiv_standards,"Activated carbon is permitted by the OIV for decolourising musts and removing off-odours, but must be removed before fermentation.",True,False,0.15,"According to OIV regulations, when must activated carbon be removed during winemaking?",Before fermentation,This is a specific regulatory requirement from the OIV (International Organisation of Vine and Wine) that requires knowledge of precise winemaking regulations rather than general wine knowledge.,1858,293,114,
