uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,notes
174e59a6-0403-4277-959f-1ce4021ba2d8,WB-VIT-0174-L2,fact_to_question,chatgpt,viticulture,2,recall,"When serving a red Bordeaux with noticeable tannin, which temperature mistake is most likely to make the wine seem more astringent on the palate?","[{'id': 'A', 'text': 'Serving it slightly cool to sharpen acidity'}, {'id': 'B', 'text': 'Decanting it briefly before pouring'}, {'id': 'C', 'text': 'Serving it well above cellar temperature'}, {'id': 'D', 'text': 'Serving it too cold'}]",D,"[1] Bordeaux consider decanting before serving. Here, tannins are clearly present — even when supple. To keep the palate comfortable, serving temperature is essential. Too cool and the tannins feel harsh.",,,,,,,,,
decca2a5-3d88-4c70-8c4d-4a7675c017af,WB-REG-0155-L3,scenario_synthesis,chatgpt,wine_regions,3,application,"A California winemaker is preparing back labels for three vineyard-designated bottlings and wants the release notes to mention the AVAs in order from oldest federally recognized appellation to newest. Her cellar records show the wines come from Santa Maria Valley, Pacheco Pass, and Squaw Valley-Miramonte. Which sequence should she use?","[{'id': 'A', 'text': 'Santa Maria Valley, then Squaw Valley-Miramonte, then Pacheco Pass'}, {'id': 'B', 'text': 'Squaw Valley-Miramonte, then Pacheco Pass, then Santa Maria Valley'}, {'id': 'C', 'text': 'Santa Maria Valley, then Pacheco Pass, then Squaw Valley-Miramonte'}, {'id': 'D', 'text': 'Pacheco Pass, then Santa Maria Valley, then Squaw Valley-Miramonte'}]",C,"[1] The Pacheco Pass AVA was established in 1984 in California.
---
[2] The Squaw Valley-Miramonte AVA was established in 2015 in California.
---
[3] The Santa Maria Valley AVA was established in 1981 in California.",,,,,,,,,
ff1f1cc3-c1e5-40e3-a5cb-05eddc5a7c7a,WB-PRD-0197-L4,scenario_synthesis,chatgpt,producers,4,application,"A cellar team at a Champagne house is revising the back-label text for its main non-vintage bottling. The draft says the estate began with the Villermont family's wine activity in the 1700s under a different public identity, that the cuvée in question represents the producer's signature non-vintage style, and that later international growth and vineyard expansion came during a modernization phase led by Claude d'Hautefeuille. Which wine should the team apply this text to?","[{'id': 'A', 'text': 'A newly created vintage-dated Bollinger wine'}, {'id': 'B', 'text': ""A Bollinger bottling positioned as something other than the house's standard non-vintage expression""}, {'id': 'C', 'text': 'A non-vintage sparkling wine from another Champagne house'}, {'id': 'D', 'text': 'Bollinger Special Cuvée'}]",D,"[1] Before the Bollinger house was founded, in the 18th century the Villermont family practised wine making, though not under their family name.
---
[2] === Modern day ===

Bollinger was modernized under the direction of Claude d'Hautefeuille, who acquired additional vineyards and developed the brand internationally.
---
[3] Bollinger currently produces the following sparkling wines:

Special Cuvée (non-vintage): The Bollinger house style.",,,,,,,,,
f28a2b20-7308-4427-a837-db0d7ef3572d,WB-GRP-0168-L2,fact_to_question,llama,grape_varieties,2,recall,"In the labeling of Chablis Premier Cru wines, which piece of information comes immediately after the name of the commune?","[{'id': 'A', 'text': 'The name of the producer'}, {'id': 'B', 'text': ""The term 'Premier Cru'""}, {'id': 'C', 'text': 'The vintage year'}, {'id': 'D', 'text': 'The name of the specific vineyard plot'}]",D,"[1] On the bottle, the name of the commune is followed by the name of the plot where the grapes were grown, such as Chablis Premier Cru .",,,,,,,,,
27fbf5cd-1d63-4c04-801a-2684f5dc3634,WB-WMK-0164-L2,fact_to_question,gemini,winemaking,2,recall,"During traditional sparkling wine production, what is the specific term for the wine and sugar solution added to the bottle immediately after the yeast sediment has been ejected?","[{'id': 'A', 'text': 'Vin de goutte'}, {'id': 'B', 'text': 'Liqueur de dosage'}, {'id': 'C', 'text': 'Vin de taille'}, {'id': 'D', 'text': 'Liqueur de tirage'}]",B,"[1] After the second fermentation, the deposit of lees is expelled and replaced with a liqueur de dosage – a blend of wine and sugar.",,,,,,,,,
6eb11a06-1b70-4f76-a573-6069cc18a3ab,WB-PRD-0167-L4,distractor_mining,chatgpt,producers,4,analysis,"Which entity is described by this clue set: it recently launched a new hospitality project in the form of a village inn, with the concept centered on English wine, British food, and a welcoming, homelike atmosphere?","[{'id': 'A', 'text': 'Camel Valley'}, {'id': 'B', 'text': 'Balfour Winery'}, {'id': 'C', 'text': 'Bolney Wine Estate'}, {'id': 'D', 'text': 'Kent'}]",B,"[1] Camel Valley and Knightor are the two largest producers in Cornwall, with the former notable as being the first English wine to receive a Royal warrant.
---
[2] Bolney Wine Estate is a wine producer in the England region of England.
---
[3] There are over 100 wineries in England producing sparkling wines with Nyetimber, Ridgeview, Gusbourne, Chapel Down and Bolney Wine Estate being some of the largest producers.
---
[4] Also of note in the 17th century was the development of strengthened wine bottles by Kenelm Digby.
---
[5] Balfour Winery has opened the doors to its newest hospitality venture, a village pub rooted in English wine, British cooking and a strong sense of home.
---
[6] ==== Kent ====
Kent has the largest area under vine of any county in England, with Chapel Down and Gusbourne Estate being its largest producers.",,,,,,,,,
0fd54da5-d622-49c3-b155-1c68a00d9992,WB-BIZ-0144-L2,fact_to_question,gemini,wine_business,2,recall,"When seeking specific industry certifications in Chile, which components of a winery's operation fall under the scope of the ""Red Area"" assessment?","[{'id': 'A', 'text': 'Administrative workplaces and winemaking infrastructure'}, {'id': 'B', 'text': 'Vineyard management and grape growing practices'}, {'id': 'C', 'text': 'Community engagement and employee welfare'}, {'id': 'D', 'text': 'International marketing and export logistics'}]",A,[1] Chilean wine offices and other facilities related to wine production that are submitted for Red Area certification.,,,,,,,,,
f09ff278-6b7a-4c9a-8158-de686790a38d,WB-PRD-0149-L3,template,template_only,producers,3,recall,True or False: Château Marquis de Terme is located in the Margaux wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Château Marquis de Terme is a wine estate in Margaux.,,,,,,,,,
646168c8-cdb9-4019-a016-80f4a0249ac5,WB-VIT-0146-L3,comparative,gemini,viticulture,3,analysis,"A viticulturist is comparing the climatic drivers of two renowned Tuscan wine areas. The first area contains northern sectors where a prominent waterway mitigates the heat, resulting in a cooler environment. The second area yields highly robust and intricate wines due to strong solar radiation and sea breezes hitting its south- and west-facing hillsides. Which two regions are being described, in that respective order?","[{'id': 'A', 'text': 'Chianti and Brunello di Montalcino'}, {'id': 'B', 'text': 'Carmignano and Morellino di Scansano'}, {'id': 'C', 'text': 'Brunello di Montalcino and Chianti'}, {'id': 'D', 'text': 'Vino Nobile di Montepulciano and Bolgheri'}]",A,"[1] In the north, the Arno River can have an influence on the climate, keeping the temperatures slightly cooler.
---
[2] Vineyards on the southern and western slopes receive more intense exposure to sunlight and more maritime winds which produces wines with more power and complexity.",,,,,,,,,
734123ca-c0d7-4374-b4de-28d11f774024,WB-WMK-0129-L3,distractor_mining,llama,winemaking,3,analysis,"Which type of wine undergoes an initial fermentation process similar to most other wines, but may utilize special strains of yeast?","[{'id': 'A', 'text': 'Fortified wine'}, {'id': 'B', 'text': 'Champagne'}, {'id': 'C', 'text': 'Sparkling wine'}, {'id': 'D', 'text': 'Base wine'}]",C,"[1] Sparkling wines that gain their carbonation from the traditional method of bottle fermentation are labelled ""bottle fermented"", ""méthode traditionelle"", or ""méthode champenoise"".
---
[2] Base wine is a type of still wine produced in the first stage of fermentation during the production of sparkling wines and brandies.
---
[3] In the United States, the term is also used for the fermented juice of any fruit or agricultural product.
---
[4] Wine classification generally more alcoholic wines that have had their fermentation process stopped by the addition of a spirit, such as brandy, or have had additional spirit added after fermentation.
---
[5] The primary fermentation of sparkling wine begins like most other wines, though winemakers may choose to use specially cultivated sparkling wine yeasts.
---
[6] Champagne is usually a blend from more than one year and only sometimes sold as a vintage wine.",,,,,,,,,
1b2d8430-6535-4670-9d7d-30c01b0940c0,WB-VIT-0159-L2,fact_to_question,claude,viticulture,2,recall,"Cautín, a small wine-producing zone with only a few hectares under vine, is located at the far southern end of Chile. Within which broad Chilean viticultural region does it fall?","[{'id': 'A', 'text': 'Aconcagua'}, {'id': 'B', 'text': 'Austral'}, {'id': 'C', 'text': 'Central Valley'}, {'id': 'D', 'text': 'Coquimbo'}]",B,"[1] With a handful of hectares dedicated to wine production, Cautín is part of the Austral region in the extreme south of Chile.",,,,,,,,,
63f4cb9c-2832-4593-a69a-acc96e747f61,WB-PRD-0164-L2,fact_to_question,claude,producers,2,recall,"Castello di Volpaia, a Tuscan estate under the ownership of Carlo and Giovannella Mascheroni Stianti, practices organic agriculture and is best known for producing which appellation wine?","[{'id': 'A', 'text': 'Vino Nobile di Montepulciano'}, {'id': 'B', 'text': 'Brunello di Montalcino'}, {'id': 'C', 'text': 'Bolgheri Rosso'}, {'id': 'D', 'text': 'Chianti Classico'}]",D,"[1] Castello di Volpaia is organically farmed, producing extra virgin olive oil, vinegar, and wine, particularly Chianti Classico. The winery is owned by Carlo and Giovannella Mascheroni Stianti.",,,,,,,,,
62422e6b-4dd5-4d34-8ea1-cb2e916f79e2,WB-VIT-0167-L2,comparative,chatgpt,viticulture,2,analysis,"A viticulture student compares two vineyard sites. Site 1 sits on a broad, level stretch of freely draining gravel between two mountain ranges. Site 2 shows mixed parent material from altered granite plus volcanic and marine sedimentary rock, with surface layers such as sandstone, mudstone, or lime-rich shale. Which pairing matches these sites to the correct AVAs?","[{'id': 'A', 'text': 'Site 1 = Oakville AVA; Site 2 = Paso Robles AVA'}, {'id': 'B', 'text': 'Both Site 1 and Site 2 = Oakville AVA'}, {'id': 'C', 'text': 'Site 1 = Paso Robles AVA; Site 2 = Oakville AVA'}, {'id': 'D', 'text': 'Both Site 1 and Site 2 = Paso Robles AVA'}]",A,"[1] Paso Robles AVA has soils characterized by Primarily, bedrock composed of weathered granite, volcanic and marine sedimentary rocks overlaid with sandstone, mudstone or calcareous shales..
---
[2] The  viticultural area extends over a flat expanse of well-drained gravelly soil between the Vaca and Mayacamas Mountains.",,,,,,,,,
19611143-de8c-40f2-8fb6-49c804908fde,WB-WMK-0145-L3,distractor_mining,qwen,winemaking,3,analysis,"Which Portuguese wine region produces a diverse range of styles, including lighter reds reminiscent of Bordeaux claret and full-bodied, oak-aged reds that echo the richness of premium Burgundian wines?","[{'id': 'A', 'text': 'Madeira'}, {'id': 'B', 'text': 'Douro'}, {'id': 'C', 'text': 'Bucelas'}, {'id': 'D', 'text': 'Arruda'}]",B,"[1] The style of wines produced in the Douro range from light, Bordeaux-style claret to rich Burgundian-style wines aged in new oak.
---
[2] Located south of the Arruda DOC, the region is noted for its potential for cool fermentation white wine production.
---
[3] Today, Madeira is noted for its unique winemaking process that involves oxidizing the wine through heat and ageing.",,,,,,,,,
7e3d7265-ef7b-47a6-969f-154228164308,WB-GRP-0203-L2,scenario_synthesis,chatgpt,grape_varieties,2,application,"A winemaker in New Jersey's Outer Coastal Plain is evaluating whether to expand plantings of a red grape that has recently emerged as a notable success in that AVA. In preparing the proposal, the team wants to position the grape with both local relevance and Old World credibility. Which summary best supports that decision if they also want to highlight a long historical connection to present-day Austria and point to an Austrian area whose suitability comes from hot, dry easterly airflow over the Pannonian Plain?","[{'id': 'A', 'text': 'Proceed with Blaufränkisch, but present it as a newly created New Jersey specialty with no meaningful historical tie to Austria, even though Mittelburgenland is favorable because of dry winds from the west.'}, {'id': 'B', 'text': 'Proceed with Blaufränkisch, emphasizing that it has become a strong performer in the Outer Coastal Plain, first appeared in present-day Austria only in the modern era, and is especially well suited to Mittelburgenland because of cool maritime breezes.'}, {'id': 'C', 'text': 'Do not proceed with Blaufränkisch, because it has not distinguished itself in the Outer Coastal Plain, and its best-known Austrian growing area depends mainly on wet Atlantic weather.'}, {'id': 'D', 'text': 'Proceed with Blaufränkisch, emphasizing that it has become a strong performer in the Outer Coastal Plain, may trace cultivation in what is now Austria back to around the 10th century, and is especially well suited to Mittelburgenland because of warm, dry winds arriving from the east.'}]",D,"[1] The Mittelburgenland is considered ideal for the grape due to the dry warm winds from the east across the Pannonian Plain.
---
[2] Blaufränkisch has recently been making strides in New Jersey, specifically in the Outer Coastal Plain AVA, becoming a stand out grape for this region.
---
[3] === Austria === It is possible that Blaufränkisch or a similar forerunner of the grape was already cultivated in regions of present Austria (Lower Austria and Burgenland) in the 10th.",,,,,,,,,
e314404a-f63b-4ea7-be39-32fb51772493,WB-PRD-0152-L3,template,template_only,producers,3,recall,Indicate True or False: Weingut Hirn operates in the Eisenheim wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,"[1] Weingut Hirn is a wine producer in Eisenheim, Germany.",,,,,,,,,
949a8cdf-e8f2-443a-9371-81712038a898,WB-GRP-0162-L3,distractor_mining,llama,grape_varieties,3,analysis,Which AVA allows the production of Merlot wines?,"[{'id': 'A', 'text': 'St. Helena AVA'}, {'id': 'B', 'text': 'San Pasqual Valley AVA'}, {'id': 'C', 'text': 'White Bluffs AVA'}, {'id': 'D', 'text': 'Anderson Valley AVA'}]",A,"[1] White Bluffs AVA permits the Syrah grape variety.
---
[2] Beverly, Washington AVA permits the Malbec grape variety.
---
[3] St. Helena AVA permits the Merlot grape variety.
---
[4] Verde Valley AVA permits the Barbera grape variety.
---
[5] Anderson Valley AVA permits the Pinot noir grape variety.
---
[6] San Pasqual Valley AVA permits the Grenache grape variety.",,,,,,,,,
d1a1b4c3-9025-49d7-abf2-9ac191432209,WB-WMK-0179-L3,scenario_synthesis,qwen,winemaking,3,application,"A winemaker at a prestigious Champagne house is overseeing the post-fermentation handling of their new vintage. The juice has just finished fermenting in oak casks, and the team is preparing to stabilize the wines. According to standard practice, the winemaker knows that all bottling will occur in a single batch about thirty weeks after harvest. They also observe that two of the casks are being used to refill the others. What is the primary reason for using wine from the eleventh and twelfth casks to top up the first ten?","[{'id': 'A', 'text': 'To prepare the casks for immediate disgorgement by stabilizing pressure'}, {'id': 'B', 'text': 'To blend in a reserve wine for complexity before the final bottling decision'}, {'id': 'C', 'text': 'To compensate for evaporation and maintain a full cask environment, minimizing oxidation risk during maturation'}, {'id': 'D', 'text': 'To equalize alcohol levels across all casks before the single bottling session'}]",C,"[1] Once fermentation is complete, the eleventh and twelfth casks are used to top up the other ten casks to protect the new wines from oxidation.
---
[2] === Cellars ===

All Krug Champagnes are bottled during a single session, thirty weeks after the harvest.
---
[3] Krug (Champagne) is poured into twelve oak casks chosen at random.",,,,,,,,,
43c58b51-8bb8-4899-b609-0ab7d5b32992,WB-BIZ-0160-L2,fact_to_question,claude,wine_business,2,recall,Which statement best characterizes the British wine market with respect to domestically produced English wine?,"[{'id': 'A', 'text': 'Consumption of English wine within Britain has been steadily declining as imports dominate the market.'}, {'id': 'B', 'text': 'English wine accounts for the majority of wine consumed in Britain, with imports playing only a minor role.'}, {'id': 'C', 'text': 'The majority of wine drunk in Britain comes from overseas, although domestic English wine consumption is on the rise.'}, {'id': 'D', 'text': 'Britain consumes roughly equal volumes of imported wine and domestically produced English wine.'}]",C,"[1] == Consumption ==


== Effect on the British economy ==
Most of the wine consumed in Britain is imported from other countries, though consumption of English wine is increasing.",,,,,,,,,
7911352a-75f3-4cb7-9b40-16da6a47c5b9,WB-WMK-0138-L4,scenario_synthesis,llama,winemaking,4,synthesis,"A Champagne house is creating a special limited edition cuvée to commemorate a significant anniversary. They want to use only vintage wine for this release, and age it on the lees for an extended period before disgorgement. Which of the following production methods would best achieve their goals?","[{'id': 'A', 'text': 'Ferment the base wines in stainless steel tanks, then age the bottled wine on the lees under crown cap for 3 years'}, {'id': 'B', 'text': 'Ferment the base wines in small oak barrels, then age the bottled wine on the lees under crown cap for 2 years'}, {'id': 'C', 'text': 'Blend multiple vintages together, ferment in large oak casks, then age the bottled wine on the lees under cork for 5 years'}, {'id': 'D', 'text': 'Ferment the base wines in small oak barrels, sorted by variety and origin, then age the bottled wine on the lees under cork for at least 5 years'}]",D,"[1] A 40th-anniversary wine, the Special Cuvée 007 Limited Edition, was released for the 2021 Craig film, No Time To Die.
---
[2] Bollinger spends five years on its lees and is aged in bottle under cork, instead of crown seal.
---
[3] Vintage wine, including all wine to be used in a Grande Année, is fermented in small oak barrels, sorted according to origin and variety.",,,,,,,,,
9617ff5a-7d5a-4e7d-9454-d47c97fcf9c6,WB-REG-0174-L3,distractor_mining,claude,wine_regions,3,analysis,"This federal entity came into existence in January 2003 following a significant restructuring of the Bureau of Alcohol, Tobacco and Firearms, carried out under legislation passed the previous year in response to national security concerns. What is it?","[{'id': 'A', 'text': 'Alcohol and Tobacco Tax and Trade Bureau (TTB)'}, {'id': 'B', 'text': 'Federal Alcohol Administration (FAA)'}, {'id': 'C', 'text': 'Wine Institute Regulatory Division'}, {'id': 'D', 'text': 'Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)'}]",A,"[1] Most of the vineyards in the Fiddletown AVA are located in the south and west portion of the region on Sierra Nevada slopes between 1,500 to 2.
---
[2] The state of Oregon in the United States has established an international reputation for its production of wine, ranking fourth in the country behind California, Washington.
---
[3] Chalone AVA was recognized by the Bureau of Alcohol, Tobacco and Firearms (ATF) effective on July 14, 1982, after reviewing the petition submitted by the Gavilan Vineyards, Inc.
---
[4] Clore (July 1, 1911 – February 3, 2003) was a pioneer in wine growing and agricultural research in Washington state and has been formally recognized by the Washington State Legislature.
---
[5] TTB was created in January 2003, when the Bureau of Alcohol, Tobacco and Firearms, or ATF, was extensively reorganized under the provisions of the Homeland Security Act of 2002.
---
[6] Beverly, Washington AVA appellation was established on October 29, 2024, as the nation's 276th.",,,,,,,,,
bfbb56c3-faad-4e1e-bd74-617a242910dc,WB-REG-0137-L3,distractor_mining,chatgpt,wine_regions,3,analysis,"Which appellation fits this description: its borders were adjusted slightly so that the entire Upper Lake Valley designation would fall inside it, and the area in question sits within the Upper Lake Groundwater Basin on Quaternary alluvial water-bearing deposits?","[{'id': 'A', 'text': 'Clear Lake AVA'}, {'id': 'B', 'text': 'Willcox AVA'}, {'id': 'C', 'text': 'Eagle Peak Mendocino County AVA'}, {'id': 'D', 'text': 'Mississippi Delta AVA'}]",A,"[1] The Clear Lake AVA boundaries were slightly modified to fully encompass the Upper Lake Valley appellation that lies in the Upper Lake Groundwater Basin on four water-bearing formations: Quaternary alluvium.
---
[2] Willcox AVA is encircled by the Chiricahua Mountains and Dos Cabezas Mountains to the east, the Pinaleño Mountains to the northeast.
---
[3] Sixty miles (97 km) to the southwest is the Sonoita AVA.
---
[4] Mississippi Delta AVA appellation was established as the nation's 68th and each state's initial AVA on August 30, 1984 by the Bureau of Alcohol, Tobacco and Firearms (ATF).
---
[5] In recent years they have invested in research into wine production in the states of Washington, Oregon, Texas and Virginia.
---
[6] Eagle Peak Mendocino County lies within the North Coast AVA and takes its name from the nearby Eagle Peak summit covering the mountainous area situated in the Coastal Range just.",,,,,,,,,
c1b0b2bf-c3f1-4518-a13a-adbc6645356c,WB-PRD-0147-L3,template,template_only,producers,3,recall,"True or False: Specific colour requirement (if applicable) is located in the align=""center"" | lightly coloured red wine region.","[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,"[1] Specific colour requirement (if applicable) is a classified Bordeaux estate in align=""center"" | lightly coloured red.",,,,,,,,,
3d90715c-1b65-483d-b9d2-a9055d08ae30,WB-GRP-0209-L2,fact_to_question,claude,grape_varieties,2,recall,A golden-skinned white grape variety capable of producing both dry table wines and lusciously sweet botrytized wines has its two most significant plantings in which pair of countries?,"[{'id': 'A', 'text': 'France and Australia'}, {'id': 'B', 'text': 'Italy and Argentina'}, {'id': 'C', 'text': 'France and South Africa'}, {'id': 'D', 'text': 'Spain and Chile'}]",A,"[1] Sémillon (French pronunciation: [semijɔ̃] ) is a golden-skinned grape used to make dry and sweet white wines, mostly in France and Australia.",,,,,,,,,
