uuid,qid,difficulty,stem,gold,sonnet_answer,sonnet_confidence,sonnet_reasoning,matched,similarity,haiku_matched,haiku_confidence,b2_severity,ok,latency_ms,input_tokens,output_tokens,error
7bdcd575-8032-439c-ad35-089657423973,WB-REG-0178-L1,1,"Given the fact, in which country would a traveller find the San Juan wine region?",Argentina,Argentina,0.95,"San Juan is a well-known wine-producing province in Argentina, located north of Mendoza, known particularly for Syrah and Bonarda production.",True,1.0,True,0.85,fail,True,3588,139,68,
d1a20833-4000-42ab-9095-6cae51b2b1ee,WB-REG-0219-L2,2,"Which Spanish wine designation is defined not by a single contiguous territorial boundary, but rather encompasses more than 40 square kilometers of scattered vineyard plots distributed throughout its broader autonomous community?",Catalunya DOP,Vinos de Madrid,0.3,"Several Spanish DOs have non-contiguous vineyard plots scattered across their autonomous communities, but I'm not confident which specific designation is defined by more than 40 square kilometers of scattered plots — Vinos de Madrid or possibly Ribeira Sacra with its terraced parcels, though I lack sufficient certainty to identify the precise designation described.",False,0.214,False,0.35,pass,True,4122,158,112,
d9499398-0533-4deb-9864-5933a73da597,WB-VIT-0212-L2,2,"This Washington State AVA sits on elevated plateaus that overlook the Columbia River, positioned roughly 10 miles north of the Tri-Cities area within Franklin County. Which AVA fits this description?",White Bluffs AVA,Candy Mountain AVA,0.55,"Candy Mountain is a small Washington State AVA in Franklin County situated on an elevated basalt plateau north of the Tri-Cities area near the Columbia River, though I have limited detailed knowledge of its exact positioning relative to the Tri-Cities.",False,0.353,False,0.45,warn,True,2721,163,90,
6c609013-5dd0-41bb-9ca8-fef4e4bca667,WB-REG-0220-L2,2,"When evaluating the maturation rules for specific Italian appellations, one requires a baseline of 35 months of cellar time (including two years in barrel), whereas another demands at least 36 months specifically for its Riserva tier. Which appellation dictates the 35-month baseline?",Gattinara,Brunello di Montalcino,0.55,"Brunello di Montalcino requires a minimum of 5 years total aging (including 2 years in oak barrel) from harvest for the standard release, but the 35-month figure with 2 years in barrel more closely aligns with Barolo or Barbaresco regulations; however, given the specific pairing with a 36-month Riserva comparator (which fits Barbaresco Riserva at 4 years), the 35-month baseline may refer to Barolo's standard requirement, though I am not fully confident in this exact figure.",False,0.194,False,0.72,pass,True,6287,184,169,
3a39f126-3824-4a19-8019-08395e886240,WB-PRD-0209-L1,1,What wine region is Château la Marzelle part of?,Saint-Émilion,Saint-Émilion Grand Cru,0.85,"Château la Marzelle is a classified estate in the Saint-Émilion Grand Cru appellation in Bordeaux, recognized in the Saint-Émilion classification.",True,1.0,True,0.72,fail,True,1876,135,80,
1e950b64-cccd-4541-8b5c-acf76a0cd531,WB-BIZ-0181-L2,2,Which wine-producing nation recorded a total output of roughly 9.0 million hectolitres for the 2023 vintage?,South Africa,Argentina,0.45,"Argentina typically produces in the range of 10–15 million hectolitres, but output can vary significantly by vintage; a figure around 9 million hectolitres could reflect a reduced 2023 harvest there, though South Africa or Portugal are also plausible candidates at that production level, making this a low-confidence estimate.",False,0.381,False,0.35,pass,True,4508,149,105,
599630f2-4a43-4a11-8b57-f2c51cc39c0f,WB-PRD-0210-L1,1,What wine region is Château Laniote part of?,Saint-Émilion,"Saint-Émilion Grand Cru, Bordeaux",0.82,"Château Laniote is a classified Saint-Émilion Grand Cru estate located in the Saint-Émilion appellation of Bordeaux, France.",True,1.0,False,0.45,fail,True,2794,134,81,
64f061f9-7a55-44cb-9a56-34ae5d9138a0,WB-GRP-0259-L2,2,"A winemaker in Oregon is developing a new experimental white wine blend and plans to label it with a single varietal designation. The intended grape is a lesser-known, non-European variety that has shown success in cooler climates due to its high acidity and resistance to botrytis. The winemaker is also considering two other varieties—one noted for its thick skins and high sugar concentration at harvest, often used in late-harvest wines, and another that thrives in humid conditions and contributes bright red fruit notes to blends. Before finalizing the label, the winemaker consults the TTB's list of approved grape variety names to ensure compliance. Which of the following must be true for any of these varieties to be used in a varietal designation on the wine label?",The grape variety must appear on the TTB’s approved list of grape names for labeling purposes.,"The variety must appear on the TTB's approved list of grape variety names, and the wine must contain at least 75% of that named variety (or 51% for AVA-designated wines using certain hybrid or native varieties under specific state rules, though the federal minimum is 75%).",0.72,"Under TTB (Alcohol and Tobacco Tax and Trade Bureau) regulations, a varietal designation on a U.S. wine label requires that the grape variety be on the TTB's approved list of grape variety names AND that the wine contain a minimum of 75% of that named variety, making TTB approval of the variety name a necessary condition for any varietal labeling.",False,0.441,False,0.85,fail,True,4355,286,173,
31d353e9-83d0-4b7a-9034-5ef4d922266f,WB-GRP-0220-L2,2,Which red grape variety and its color mutations are authorized for use in the production of fortified vin doux naturels in Rivesaltes and Banyuls within the Roussillon region?,Grenache noir and its gris and blanc forms,"Grenache, including its color mutations Grenache Noir, Grenache Gris, and Grenache Blanc",0.85,"Grenache and its mutations (Noir, Gris, Blanc) are the principal authorized varieties for the fortified vins doux naturels of Rivesaltes and Banyuls in Roussillon, where Grenache Noir dominates Banyuls and all three mutations are used in Rivesaltes.",False,0.462,False,0.72,fail,True,3552,163,129,
12bd8eed-dd9e-4a15-b89e-3f8c610a6f1a,WB-GRP-0250-L2,2,"A winegrower is evaluating two American Viticultural Areas for varietal plantings. One AVA sanctions Petite Sirah among its permitted grapes, while the other sanctions Chardonnay. Which pairing correctly matches each grape to the AVA that permits it?",Petite Sirah → Manton Valley AVA; Chardonnay → Willamette Valley AVA,"Petite Sirah is permitted in Paso Robles AVA, and Chardonnay is permitted in Carneros AVA.",0.3,"The question implies a specific pairing between two named AVAs, but without knowing which two AVAs are being compared, I can only offer general knowledge that Petite Sirah is strongly associated with warm California AVAs like Paso Robles, while Chardonnay is permitted broadly but notably in cooler AVAs like Carneros — however, since the question references specific AVAs without naming them explicitly, I cannot confidently identify the exact intended pairing.",False,0.637,False,0.3,warn,True,4639,182,163,
9310362d-eb05-4199-bfc1-7bab862543e0,WB-GRP-0200-L1,1,"Per the fact, which country hosts cultivation of Cabernet Sauvignon?",Argentina,"France (originally), but now cultivated worldwide including USA, Australia, Chile, Argentina, Italy, Spain, and many others",0.85,"Cabernet Sauvignon originated in France's Bordeaux region but is now one of the world's most widely planted red grape varieties, grown across virtually every major wine-producing country globally.",True,1.0,False,0.95,warn,True,4405,138,100,
3416ce5b-3ddd-4a1a-9b7e-a9c2411a4d1e,WB-GRP-0202-L1,1,"Given the fact, a producer working with Red Blend would be operating in which country?",Spain,United States,0.6,"The term 'Red Blend' as a labeled wine category is most commonly associated with the United States, particularly as a marketing-friendly designation used by American producers for proprietary blends, though red blends are made worldwide.",False,0.111,False,0.72,pass,True,2610,139,83,
2102c411-6389-43ac-86ea-523139ce8f7c,WB-GRP-0201-L1,1,"Given the fact, a producer working with Tempranillo would be operating in which country?",Spain,Spain,0.95,"Tempranillo is the flagship red grape variety of Spain, most famously associated with regions like Rioja and Ribera del Duero, making Spain the overwhelmingly likely country for a producer working with this grape.",True,1.0,True,0.95,fail,True,4118,140,83,
99d9a63b-91c6-4d24-bd23-6f32fc5c18ee,WB-REG-0173-L1,1,The fact assigns the Manton Valley AVA to which US state?,California,California,0.7,"Manton Valley AVA is located in Tehama County in northern California, established as an American Viticultural Area in that state.",True,1.0,True,0.35,fail,True,2397,136,60,
20074207-c1da-437b-9a3e-d6830acd000a,WB-GRP-0221-L2,2,Which appellation in the Loire Valley mandates the use of Chenin blanc for the production of its sweet white wines and is situated within the Anjou subregion?,Bonnezeaux,Coteaux du Layon,0.9,"Coteaux du Layon is a well-known appellation within the Anjou subregion of the Loire Valley that mandates 100% Chenin blanc for its sweet (moelleux) white wines, produced from botrytis-affected or late-harvested grapes along the Layon river.",False,0.385,False,0.75,pass,True,5988,157,112,
2bb4146a-92c3-4e84-9b40-396cd05eb36e,WB-GRP-0203-L1,1,"A new producer seeks advice on a proven region for Garganega. According to the fact, which wine region fits?",Veneto,"Soave, Veneto, Italy",0.95,"Garganega is the primary grape variety of the Soave DOC in the Veneto region of northeastern Italy, where it has been cultivated for centuries and is the foundation of the region's most celebrated white wines.",True,1.0,True,0.92,fail,True,3624,146,90,
4158a6b3-8fd5-4851-bff1-6d65fe410376,WB-REG-0175-L1,1,The fact assigns the Diamond Mountain District AVA to which US state?,California,California,0.98,"Diamond Mountain District is a well-known AVA located in Napa Valley, California, established in 2001 and known for its Cabernet Sauvignon production.",True,1.0,True,0.85,fail,True,2511,135,68,
c3f3cb04-0d4a-47ce-b558-26a5b58f4224,WB-REG-0176-L1,1,"Per the fact, the Bolgheri Superiore wine region is situated in which country?",Italy,Italy,0.99,"Bolgheri Superiore is a well-known DOC wine appellation located in the Tuscany region of Italy, famous for producing Super Tuscan wines such as Sassicaia.",True,1.0,True,0.95,fail,True,2546,141,77,
457007b6-332d-4073-a526-cb79125a3477,WB-REG-0177-L1,1,"Per the fact, the Central Spain wine region is situated in which country?",Spain,Spain,0.99,"The name 'Central Spain' directly indicates it is a wine region located in Spain, situated in the central part of the country.",True,1.0,True,0.95,fail,True,2254,136,62,
643eb8af-7b7c-47ce-ae8a-fe96cd08c6a6,WB-REG-0185-L2,2,Identify the broader region containing Elba Aleatico Passito.,Tuscany,Tuscany,0.95,"Elba Aleatico Passito is a DOCG wine produced on the island of Elba, which is part of the Tuscany region in Italy.",True,1.0,True,0.85,fail,True,2309,138,69,
dffb7462-9895-4f2b-abd6-08b4af2c6dd9,WB-PRD-0202-L1,1,A retailer preparing a country-of-origin label for Marqués de Cáceres wines checks the fact. Which country applies?,Spain,Spain,0.99,"Marqués de Cáceres is a well-known Spanish winery located in Cenicero, in the Rioja DOCa region of Spain.",True,1.0,True,0.95,fail,True,2031,150,65,
d62f7b49-0526-4e50-8f77-4a5b76f70768,WB-PRD-0200-L1,1,"A buyer plans to import wines directly from the estate Grafen Neipperg. Per the fact, which country's export procedures should they follow?",Germany,Germany,0.6,"Grafen Neipperg (Graf Neipperg) is a noble German family with wine estates; the name and title 'Grafen' (Count in German) suggest German origin, with estates in Württemberg, Germany, though the family also has connections to Saint-Émilion in France.",True,1.0,True,0.75,warn,True,3252,152,102,
cf5b541f-a914-4cda-9c70-61aa64c45d2d,WB-PRD-0201-L1,1,"A buyer plans to import wines directly from the estate Schloss Vollrads. Per the fact, which country's export procedures should they follow?",Germany,Germany,0.95,"Schloss Vollrads is a historic wine estate located in the Rheingau region of Germany, so the buyer would need to follow Germany's export procedures.",True,1.0,True,0.95,fail,True,2566,152,70,
ddbf6ee0-5f05-4dcf-9702-2acec56cc7bd,WB-PRD-0203-L1,1,"Per the fact, the wine estate Grafen Neipperg is located in which country?",Germany,Germany,0.75,"Grafen Neipperg (Graf Neipperg) is a noble German family with wine estates in the Württemberg region of Germany, though a branch of the family also owns Château Canon-La-Gaffelière in Saint-Émilion, France.",True,1.0,False,0.72,warn,True,2790,141,90,
f0b930b0-3d02-48a3-a90e-e27884ce875a,WB-PRD-0205-L1,1,"Per the fact, the wine estate Schloss Vollrads is located in which country?",Germany,Germany,0.97,"Schloss Vollrads is a historic wine estate located in the Rheingau region of Germany, known for producing Riesling wines.",True,1.0,True,0.95,fail,True,2459,141,62,
e69ff6d8-57df-4bca-8dcc-07474bdcb29e,WB-PRD-0204-L1,1,The fact places Marqués de Cáceres in which country?,Spain,Spain,0.99,"Marqués de Cáceres is a well-known Spanish winery located in the Rioja DOCa region of Spain, founded in 1970.",True,1.0,True,0.95,fail,True,3581,136,65,
902a180b-c693-4b9e-88de-3cf57c39be51,WB-BIZ-0169-L2,2,Which Italian wine region is associated with a single DOCG designation known for a red wine made primarily from Grenache?,Sardinia,"Sardinia, specifically the Cannonau di Sardegna DOCG",0.72,"Cannonau di Sardegna is a Sardinian DOCG for red wine made primarily from Cannonau, which is the local name for Grenache, and while Sardinia has multiple DOCGs, Cannonau di Sardegna is the most prominent one associated with Grenache-based red wine.",True,1.0,False,0.72,warn,True,3306,146,125,
87d9cf7e-73b5-428e-be6c-d9fbbb7c1889,WB-GRP-0227-L2,2,"In Canada during the 1990s, wider planting of which kind of grape increased the range of varieties that could be damaged by frost?","Vitis vinifera, the European grape group",Vinifera (Vitis vinifera) varieties,0.55,"In the 1990s, Canadian wine regions increasingly planted cold-sensitive Vitis vinifera varieties (such as Chardonnay, Riesling, Cabernet Franc, and Merlot) rather than relying solely on hardy hybrid varieties, which expanded the range of frost-vulnerable grapes in vineyards across Ontario and British Columbia.",False,0.507,False,0.6,warn,True,3361,150,120,
7cc12e8a-699a-4db7-b315-854ea5ee2f7c,WB-BIZ-0171-L2,2,A flagship wine industry initiative in a major Southern Hemisphere producing country has achieved substantial reductions in electricity and gas use through the adoption of a renewable energy source derived from subsurface heat. Which energy source enabled these efficiency gains?,Geothermal energy,Geothermal energy,0.62,"The question describes a renewable energy source 'derived from subsurface heat,' which is the definition of geothermal energy, and New Zealand (a major Southern Hemisphere wine producer) has significant geothermal resources that have been adopted by various industries including wine production to reduce electricity and gas consumption.",True,1.0,True,0.72,fail,True,3680,167,103,
dfcf5532-9317-4400-afda-4c8eb13569fe,WB-GRP-0252-L2,2,Two California AVAs each sanction a different red grape in their approved plantings: one allows Petite Syrah while the other allows Cabernet Franc. Which pairing correctly matches each AVA to the grape it permits?,Calistoga AVA — Petite Syrah; Malibu-Newton Canyon AVA — Cabernet Franc,"I cannot confidently identify the specific pairing without more context about which two AVAs are being compared, but a plausible answer is that Paso Robles (or a sub-AVA) permits Petite Sirah while a cooler-climate AVA such as Merritt Island or Clarksburg permits Cabernet Franc.",0.2,"California has over 100 AVAs and each has specific approved varieties, but the question references two unnamed AVAs distinguished solely by permitting Petite Sirah vs. Cabernet Franc, and without knowing which two AVAs are being compared I cannot reliably match them to the correct grape.",False,0.292,False,0.25,warn,True,5735,170,171,
df587ccc-5450-4e43-9f27-c8769ab1f696,WB-PRD-0213-L2,2,In which Médoc commune is the Bordeaux estate Château d'Angludet located?,Cantenac,Cantenac,0.85,"Château d'Angludet is a well-known Bordeaux estate in the Margaux appellation, located in the commune of Cantenac, which is one of several communes within the broader Margaux AOC.",True,1.0,False,0.75,fail,True,2514,143,83,
2338c27b-7dfe-42a4-a299-8762c48e7ff4,WB-GRP-0251-L2,2,"This red grape variety played a significant role in revitalizing viticulture in southern Italian regions such as Apulia and Campania in the aftermath of World War II, largely thanks to its generous productivity and its suitability for mechanized vineyard work. Which grape is being described?",Barbera,Montepulciano,0.45,"Montepulciano is a productive red variety associated with southern/central Italy, but the description of post-WWII revitalization in Apulia and Campania through high productivity and mechanization suitability could also point to Sangiovese or even Primitivo/Negroamaro in Apulia — I'm not confident enough to be certain which variety is specifically credited with this role.",False,0.2,False,0.65,pass,True,5261,182,125,
dec17551-378a-4d18-8657-b157f694b663,WB-GRP-0254-L2,2,"Which of these American Viticultural Areas allows the use of a late-ripening red grape variety known for deep color and tannic structure, rather than a widely planted white variety associated with cool-climate vineyards?",Malibu-Newton Canyon AVA,Napa Valley,0.35,"The question is ambiguous without a list of AVAs to choose from, but Napa Valley is strongly associated with Cabernet Sauvignon (a late-ripening, deeply colored, tannic red grape) rather than cool-climate whites like Chardonnay or Riesling, making it a plausible answer — though without the specific list of options, confidence is low.",False,0.286,False,0.3,pass,True,3633,167,122,
de4c2636-bc8f-4dbf-9ec1-0c76e83a45c3,WB-PRD-0212-L2,2,"A lightly sparkling rosé with a touch of residual sugar, bottled in a distinctive flask-shaped container, hails from which country?",Portugal,Portugal,0.85,"Mateus Rosé, a lightly sparkling (pétillant) rosé with slight residual sugar from Portugal, is famously bottled in a distinctive flask-shaped (amphora-style) bottle and is one of the most recognizable wines in the world fitting this description.",True,1.0,False,0.72,pass,True,2823,152,97,
68899e49-355d-415c-9c41-1524d2e10bdb,WB-GRP-0260-L2,2,"A winemaker in a major Australian wine-producing area is planning the next vintage and reviewing regional characteristics. The region is known for producing wines with a balanced interplay between natural acidity and fruit expression. The primary grape varieties cultivated locally include a mix of both red and white types, with significant plantings of internationally recognized black and white varieties. Additionally, this region frequently receives grape shipments from neighboring inland zones within New South Wales—such as one located in a high-altitude volcanic area, another in a dry inland basin, and others in elevated, cool-climate districts—all of which are often labeled under a broad geographic designation due to regulatory flexibility. Given these conditions, which of the following decisions would best align with both the region’s viticultural practices and its wine style reputation?",Sourcing a portion of Chardonnay and Cabernet Sauvignon from nearby inland regions and blending them under a general geographic label to maintain consistency and volume,"Blend locally grown grapes with fruit sourced from neighboring inland NSW regions (such as Orange, Cowra, Hilltops, and Riverina) and label the wine under the broad 'South Eastern Australia' GI to maintain flexibility in sourcing while preserving the region's reputation for balanced acidity and fruit expression.",0.62,"The clues point to a Hunter Valley-adjacent or broader NSW coastal region receiving fruit from high-altitude volcanic areas (Orange), dry inland basins (Riverina/Griffith), and elevated cool-climate districts (Hilltops, Tumbarumba), all of which can be labeled under the 'South Eastern Australia' GI per Australian wine regulations, allowing blending flexibility while the home region's style emphasizes acid-fruit balance typical of areas like the Hunter Valley or Mudgee.",False,0.354,False,0.45,fail,True,7087,282,210,
bf927237-7d08-4f2b-9058-b34b8965cebb,WB-REG-0200-L2,2,"The traditional, historical growing area for Soave Classico DOC is defined by the territory surrounding which two specific municipalities?",Soave and Monteforte d'Alpone,Soave and Monteforte d'Alpone,0.9,"The Soave Classico zone, the historic heart of the appellation, is defined by the hillside territories surrounding the municipalities of Soave and Monteforte d'Alpone in the Veneto region of Italy.",True,1.0,True,0.75,fail,True,4221,147,99,
452ab28d-5083-4498-80f9-3daeb09245cc,WB-PRD-0217-L2,2,A Bordeaux estate known for making sweet white wine was listed as Premier Cru Classé in the 1855 classification and is located within which appellation of Gironde?,Sauternes,Sauternes,0.98,"The 1855 Classification of Sauternes and Barsac included one Premier Cru Supérieur (Château d'Yquem) and several Premiers Crus Classés for sweet white wines, all located within the Sauternes appellation (which also encompasses Barsac) in the Gironde department of Bordeaux.",True,1.0,True,0.85,fail,True,3589,161,114,
33868118-b914-46c8-aa9d-086757bde651,WB-REG-0197-L2,2,"Which wine-producing area in South Australia is positioned on flat terrain southeast of Strathalbyn, adjacent to the final stretches of the Bremer River?",Langhorne Creek,Langhorne Creek,0.85,"Langhorne Creek is a wine region in South Australia known for being situated on flat alluvial plains southeast of Strathalbyn, where the Bremer River meets Lake Alexandrina, making it geographically consistent with the description.",True,1.0,True,0.72,fail,True,3639,155,86,
9e45211c-74d1-4f4f-8fbd-d391178d9307,WB-PRD-0216-L2,2,"A Salta producer established two vineyard sites at about 2,250 meters and 3,000 meters above sea level. Which winery fits those elevations?",Bodega Colomé,"Clos de los Siete / Michel Rolland — more likely Bodega Colomé or Achaval Ferrer, but most precisely Bodega El Esteco or Viñas de Dávalos; the best fit is Bodega Colomé (Hess Collection)",0.35,"Bodega Colomé in Salta's Calchaquí Valleys is famous for extremely high-altitude vineyards including sites around 2,200–2,300m and their Altura Máxima vineyard at roughly 3,111m, making it the closest match to the two elevations described, though I am not fully certain this is the exact producer referenced.",True,1.0,True,0.65,fail,True,5575,158,188,
30451a8d-177c-462d-9640-d7aeeb48937a,WB-BIZ-0173-L2,2,"Encompassing roughly 955,000 hectares of planted vines, which country contains the most extensive total viticultural surface on earth?",Spain,Spain,0.92,"Spain has long been recognized as having the largest total vineyard surface area in the world at approximately 955,000–970,000 hectares, even though it is not the largest wine producer by volume, due to its many low-yielding, widely spaced vines in arid regions.",True,1.0,True,0.75,fail,True,3131,151,97,
6f97b054-8cb4-42f4-b602-4e3a801ae5b2,WB-BIZ-0174-L2,2,"Although it is a French phrase, ""Vin de glace"" does not exist as an official category in France, but it is formally integrated into the national wine classification of which country?",Luxembourg,Canada,0.85,"Canada officially recognizes 'Vin de glace' as a formal category within its national wine classification system (VQA), reflecting the country's French-speaking heritage (particularly Quebec) and its significant icewine production, where the term is used alongside 'Icewine' as an official designation.",False,0.0,False,0.75,pass,True,4967,160,96,
c51f2e6c-01b2-45e4-b01b-8115bbec4ca3,WB-GRP-0207-L2,2,Which of the following grape varieties is described in some sources as a lesser-known red wine cultivar sharing a name with a more widely recognized aromatic white grape grown in South America?,Torrontés,Torrontés,0.55,"Torrontés is widely known as an aromatic white grape variety prominent in Argentina (South America), but there are lesser-known red wine cultivars that share the Torrontés name, making it the best fit for a grape sharing its name between a recognized aromatic white and a lesser-known red cultivar.",True,1.0,True,0.35,warn,True,3539,158,104,
239d19b8-5919-411e-a722-64556ba707cf,WB-VIT-0185-L2,2,In which part of Mendocino County is the proposed viticultural area known as 'Redwood Valley' located?,Central Mendocino County,The northern part of Mendocino County,0.75,"Redwood Valley is a recognized AVA located in the northern portion of Mendocino County, California, situated north of Ukiah in the upper reaches of the Russian River watershed.",False,0.656,True,0.6,pass,True,4470,148,82,
872255fe-daa7-464c-935b-62d57a38a59b,WB-VIT-0216-L2,2,"One of these two regions is identified by a maritime Mediterranean profile and is noted as the coolest winegrowing area in its state, with a bit less rain than Margaret River. The other is associated instead with vineyard limits caused by spring frost farther west, which helped shift development toward its northern sector. Which region matches the cooler maritime description?",Great Southern,Wrattonbully,0.35,"The clues point to an Australian region cooler than Margaret River with maritime Mediterranean influence, but without being able to identify the specific pair of regions being compared, I cannot confidently determine which one matches; Wrattonbully in South Australia has some cooler characteristics, though the description of spring frost shifting development northward better fits regions like Coonawarra's surroundings, leaving me uncertain about the exact pairing intended.",False,0.385,False,0.35,warn,True,4708,192,130,
de62825e-ac6c-4a3c-862a-14c785ae4c1c,WB-WMK-0203-L2,2,Which German wine category allows chaptalization but requires the wine to be fermented dry if chaptalized?,QbA,Qualitätswein bestimmter Anbaugebiete (QbA),0.55,"QbA (Qualitätswein) is the German category that permits chaptalization to reach minimum alcohol levels, and when chaptalized, the wine must be fermented to dryness, distinguishing it from Prädikatswein which prohibits chaptalization entirely.",True,1.0,False,0.35,warn,True,2351,143,115,
