uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes,audit_severity_summary,flagged_by_agent,recommended_action
4c797335-d22e-4119-8275-4adf0675f516,WB-GRP-1003-L2,scenario_synthesis,llama,grape_varieties,2,analysis,"A winemaker in the hills south of the Via Emilia near the Apennines is deciding where to source Sangiovese grapes for a high-quality Chianti. Which vineyard site should they choose to produce an elegant, lighter-bodied style?","[{'id': 'A', 'text': 'A flat valley floor with deep, fertile soils'}, {'id': 'B', 'text': 'A south-facing slope with maximum sun exposure'}, {'id': 'C', 'text': 'A sandstone and clay rich site with gentle slopes'}, {'id': 'D', 'text': 'A steep, north-facing slope at high elevation'}]",C,"[1] Sangiovese slopes tend to produce lighter and more elegant wines that then those made from vineyards on south and southwest facing slopes.
---
[2] Today there is a broad range of style of Chianti reflecting the Sangiovese influence and winemaker's touch.
---
[3] Sangiovese seems to produce the highest quality wine in the sandstone and clay rich hills south of the Via Emilia near the Apennines which is covered by much of the.",,,,,,,,,,,,"A1=PASS,A3=FAIL,B1=FAIL,B2=PASS,C2=PASS,C4=WARN",B1_TriJudgeAnswer,drop_critical
2738c376-b034-49ba-88f9-231cee9a2fb9,WB-GRP-1176-L2,comparative,gemini,grape_varieties,2,analysis,"Which grape variety's earliest commercial cultivation efforts in Washington included a notable site at Red Willow Vineyard, situated inside the Yakima Valley?","[{'id': 'A', 'text': 'Sangiovese'}, {'id': 'B', 'text': 'Barbera'}, {'id': 'C', 'text': 'Nebbiolo'}, {'id': 'D', 'text': 'Cabernet Franc'}]",A,"[1] Today it is a permitted variety to be blended with Aglianico in the Denominazione di Origine Controllata e Garantita (DOCG) wine of Taurasi though it is rarely used.
---
[2] In Washington State, one of the first commercial plantings of Sangiovese was at Red Willow Vineyard in the Yakima Valley AVA.",,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=PASS,B2=PASS,C2=PASS,C4=WARN",,warn_only
5bf65d83-52b0-48fb-8fb7-bc8d89976a76,WB-REG-0319-L4,scenario_synthesis,llama,wine_regions,4,analysis,"A winemaker in Georgia is looking to produce a wine with a harmonious taste and a fruity aroma, with a golden color and a fine bouquet. Which of the following traditional Georgian wine styles should they aim to create?","[{'id': 'A', 'text': 'Sura'}, {'id': 'B', 'text': 'Chinchila'}, {'id': 'C', 'text': 'Khelada'}, {'id': 'D', 'text': 'Doki'}]",C,"[1] Georgian wine others yet were used for drinking, such as khelada, doki, sura, chinchila, deda-khelada, dzhami.
---
[2] Georgian wine is characterized by a harmonious taste with a fruity aroma.
---
[3] The golden-color wine has an original fine bouquet, a pleasant taste with a harmonious honey fragrance.",,,,,,,,,,,,"A1=PASS,A3=WARN,B1=FAIL,B2=PASS,C2=PASS,C4=PASS",B1_TriJudgeAnswer,drop_critical
622aa1e3-301f-4d40-b59c-ab4002c8ea07,WB-PRD-0786-L2,template,template_only,producers,2,recall,True or False: the producer Jacuzzi Family Vineyard sits within the Sonoma wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Jacuzzi Family Vineyard is a wine producer located in Sonoma.,,,,,,,,,,,,"A1=PASS,A3=PASS,B1=PASS,B2=WARN,C2=PASS,C4=PASS",,warn_only
36c02895-eb64-4215-999d-4eaa524b07fe,WB-WMK-0386-L2,fact_to_question,llama,winemaking,2,recall,What is the effect of UV-C doses higher than 1 kJ/l on the colour intensity and odour attributes of wine?,"[{'id': 'A', 'text': 'No significant change in colour intensity or odour attributes'}, {'id': 'B', 'text': 'Increased colour intensity and peach odour, decreased oxidised and burnt odours'}, {'id': 'C', 'text': 'Decreased colour intensity and oxidised and burnt odours, increased peach odour'}, {'id': 'D', 'text': 'Increased colour intensity and oxidised and burnt odours, decreased peach odour'}]",D,[1] A sensory evaluation revealed that UV‑C doses higher than 1 kJ/l increased thecolour intensityand theoxidisedandburntodour attributes of the wine.Thepeachodour attribute decreased with UV‑C treatment.,,,,,,,,,,,,"A1=PASS,A3=FAIL,A4=WARN,B1=PASS,B2=PASS,C2=PASS,C4=FAIL",A3_FactEcho,drop_critical
329771c6-5526-43f1-92d0-85bde875ab33,WB-VIT-0736-L3,distractor_mining,claude,viticulture,3,analysis,"A vineyard pest cannot be eliminated through chemical treatment because insecticides fail to move effectively through the dense, clay-rich soils in which this organism thrives. Which pest is being described?","[{'id': 'A', 'text': 'Vine mealybug'}, {'id': 'B', 'text': 'Grape leafhopper'}, {'id': 'C', 'text': 'Cutworm'}, {'id': 'D', 'text': 'Phylloxera'}]",D,"[1] Management Historical records of cutworm infestations or damage are useful in developing monitoring strategies for individual vineyards because cutworm problems are normally spotty or localized.
---
[2] Pyrethrin and spinosyn insecticides can be used prior to and after harvest, but are not effective for long-term control as they only provide short-residual suppression of adults.
---
[3] If males are found, increase the number of traps in the vineyard, and locate the infestation by examining lower leaves for honeydew.
---
[4] Heavy infestations may require a second application in 4 or 5 days.
---
[5] A pesticide treatment will not eradicate phylloxera populations; the chemical cannot easily penetrate the heavy soils that this pest prefers.
---
[6] In either region, low numbers of male vine mealybugs found in a trap may mean that the infestation is located in an adjacent block or in a more distant vineyard.",,,,,,,,,,,,"A1=PASS,A3=PASS,A4=WARN,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
8c956bff-b91e-48ef-ab9c-9944bc7c26a5,WB-VIT-0292-L2,scenario_synthesis,chatgpt,viticulture,2,synthesis,"An Oregon winemaker is reviewing red-fruit blocks in late season. In one parcel, the berries have just begun color change, and the team wants to focus tank space on a red grape that is both already part of the state's main red plantings and also suitable in the warmer parts of Oregon. Which variety best fits that brief?","[{'id': 'A', 'text': 'Pinot Noir'}, {'id': 'B', 'text': 'Gamay'}, {'id': 'C', 'text': 'Merlot'}, {'id': 'D', 'text': 'Chasselas'}]",C,"[1] Some regions of the state are able to produce warm climate cultivars such as Cabernet Sauvignon, Syrah and Merlot.
---
[2] And we grow mainly Pinot Noir, Merlot, and Gamay for the red varieties and Chasselas for the white variety.
---
[3] Download Save for later Print Share Updated: August 6, 2024 Skip to the end of the images gallery Merlot at veraison.",,,,,,,,,,,,"A1=PASS,A3=PASS,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
90650153-d479-45dc-b06b-33e337a9b440,WB-GRP-1236-L3,scenario_synthesis,qwen,grape_varieties,1,analysis,"A winemaker on a small island region in the southern hemisphere is planning red wine production using primarily French grape varieties. The local climate provides a long, cool growing season, which preserves high acidity and intensifies fruit expression in the grapes. The winemaker aims to highlight the vibrant, aromatic profile of the wines, ensuring they remain zesty and versatile with food. Given these conditions and goals, which of the following varieties should be a principal component of the red wine blend to align with the region’s typical plantings and style objectives?","[{'id': 'A', 'text': 'Sangiovese'}, {'id': 'B', 'text': 'Syrah'}, {'id': 'C', 'text': 'Tempranillo'}, {'id': 'D', 'text': 'Nebbiolo'}]",B,"[1] Waiheke Island wine region is planted primarily in French red grape varieties: Syrah, Merlot.
---
[2] Racy, aromatic, diverse. Naturally vibrant with a zesty acidity: the ideal wine for a range of cuisines.
---
[3] Southern regions have longer, cooler growing conditions that promote stronger, more vibrant fruit flavours and higher acidity levels. The resulting wines are more pungent.",,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
d59f81cd-0fae-4c35-8db0-a811822ec8f8,WB-GRP-0748-L3,comparative,claude,grape_varieties,3,analysis,"A red grape variety fits the following profile: historically valued in Piedmont for generous yields and the capacity to reach ripeness roughly a fortnight ahead of its more temperamental neighbor, even when planted on sites with suboptimal sun exposure. Which variety is being described?","[{'id': 'A', 'text': 'Nebbiolo'}, {'id': 'B', 'text': 'Barbera'}, {'id': 'C', 'text': 'Dolcetto'}, {'id': 'D', 'text': 'Freisa'}]",B,"[1] In Piedmont, the vine was prized for its yields and ability to ripen two weeks earlier than Nebbiolo even on vineyard sites with less than ideal exposure.
---
[2] Today there are scattered plantings of Nebbiolo throughout the state with the majority located in the jug wine producing region of the Central Valley.",,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=FAIL,B2=PASS,C2=PASS,C4=PASS",B1_TriJudgeAnswer,drop_critical
9d25416f-5dea-4011-9b6c-3e4aa524f2ea,WB-REG-1418-L4,template,template_only,wine_regions,4,comprehension,"According to the fact, which county or counties encompass the Santa Maria Valley AVA?","[{'id': 'A', 'text': 'San Luis Obispo|Santa Barbara'}, {'id': 'B', 'text': 'San Benito|Santa Clara'}, {'id': 'C', 'text': 'Alameda|Monterey|San Benito|San Luis Obispo|Santa Barbara|Santa Clara|Santa Cruz'}, {'id': 'D', 'text': 'Santa Barbara'}]",A,[1] Santa Maria Valley AVA is located in San Luis Obispo|Santa Barbara County.,,,,,,,,,,,,"A1=PASS,A3=FAIL,B1=PASS,B2=WARN,C2=PASS,C4=FAIL",A3_FactEcho,drop_critical
f4a84044-7f3b-448c-9c57-bb388f73715c,WB-GRP-1011-L2,scenario_synthesis,llama,grape_varieties,2,synthesis,A winemaker in Argentina is looking to plant a new vineyard near the alpine town of La Cumbrecita. The region has recently gained recognition for its award-winning wines. Which grape variety should the winemaker consider planting to capitalize on the cool climate and align with the region's recent success?,"[{'id': 'A', 'text': 'Pinot Noir'}, {'id': 'B', 'text': 'Torrontés'}, {'id': 'C', 'text': 'Cabernet Sauvignon'}, {'id': 'D', 'text': 'Malbec'}]",A,"[1] Argentine wine wines that have won significant national awards (some near La Cumbrecita, an alpine town that would have been considered too cool for vines recently).
---
[2] The main plantings have been, so far, Pinot Noir, Chardonnay, Sauvignon Blanc, Gewürztraminer, Merlot, Riesling and Pinot Gris.
---
[3] Torrontés is another typically Argentine grape and is mostly found in the provinces of La Rioja, San Juan.",,,,,,,,,,,,"A1=PASS,A3=PASS,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
72a530b2-227a-455e-a19e-36218a8776b6,WB-REG-1493-L3,distractor_mining,llama,wine_regions,1,analysis,Which Italian region has only 1 DOCG appellation?,"[{'id': 'A', 'text': 'Emilia-Romagna'}, {'id': 'B', 'text': 'Piedmont'}, {'id': 'C', 'text': 'Sardinia'}, {'id': 'D', 'text': 'Trentino-Alto Adige'}]",C,"[1] The Lombardy region of Italy has 5 DOCG appellations.
---
[2] The Emilia-Romagna region of Italy has 2 DOCG appellations.
---
[3] The Piedmont region of Italy has 17 DOCG appellations.
---
[4] The Marche region of Italy has 5 DOCG appellations.
---
[5] The Trentino-Alto Adige region of Italy has 1 DOCG appellation.
---
[6] The Sardinia region of Italy has 1 DOCG appellation.",,,,,,,,,,,,"A1=PASS,A3=WARN,B1=FAIL,B2=PASS,C2=PASS,C4=FAIL",B1_TriJudgeAnswer,drop_critical
56fdf580-c818-48c6-a430-607adb10b3e5,WB-VIT-0612-L2,fact_to_question,claude,viticulture,2,recall,"In a study examining nitrogen fertilization of grapevines using urea, elevated N2O emissions were observed when nitrogen was applied at which rates under fertigation (NF) and soil surface (NS) application methods, respectively?","[{'id': 'A', 'text': '60 and 120 kg N ha-1 yr-1'}, {'id': 'B', 'text': '80 and 40 kg N ha-1 yr-1'}, {'id': 'C', 'text': '20 and 40 kg N ha-1 yr-1'}, {'id': 'D', 'text': '40 and 80 kg N ha-1 yr-1'}]",D,"[1] Grapevines cultivated with applications of 40 and 80 kg N ha-1 yr-1, in NF and NS modes, respectively, present-ed higher N2O emissions.",,,,,,,,,,,,"A1=PASS,A3=FAIL,B1=PASS,B2=WARN,C2=PASS,C4=FAIL",A3_FactEcho,drop_critical
9edf6b7f-9b4b-4266-bbda-b63c4b9917cc,WB-GRP-1240-L3,distractor_mining,claude,grape_varieties,1,analysis,"A red grape variety has extensive plantings across several Piedmontese zones, including the Langhe around Alba, as well as Asti and Monferrato. Which variety is being described?","[{'id': 'A', 'text': 'Sangiovese'}, {'id': 'B', 'text': 'Barbera'}, {'id': 'C', 'text': 'Dolcetto'}, {'id': 'D', 'text': 'Nebbiolo'}]",B,"[1] Sangiovese based wines have the potential to age but the vast majority of Sangiovese wines are intended to be consumed relatively early in their lives.
---
[2] In the Piedmont region, Barbera is widely grown in the Alba Langhe region and the Asti and Monferrato regions.
---
[3] Sangiovese was likely brought to the island sometime between 14th and 18th century when it was ruled by the Republic of Genoa.
---
[4] === Barolo & Barbaresco ===
The Piedmont region is considered the viticultural home of Nebbiolo and it is where the grape's most notable wines are made.
---
[5] Sangiovese more modern, Bordeaux-influenced wines have more plum and mulberry fruit with vanilla oak and spice.
---
[6] Dolcetto in the Oltrepò Pavese where it is called Nebbiolo or Nibièu.",,,,,,,,,,,,"A1=PASS,A3=PASS,A4=WARN,B1=PASS,B2=PASS,C2=PASS,C4=WARN",,warn_only
321ec8f2-3345-4637-86d9-f21d608d66cc,WB-PRD-0422-L2,fact_to_question,claude,producers,2,recall,"A Pomerol estate situated on the appellation's eastern edge, near the hamlet of Catusseau close to Saint-Émilion, sits in a grouping that includes Petit-Village, Vieux Château Certan, and La Conseillante. Which estate fits this description?","[{'id': 'A', 'text': 'Château Clinet'}, {'id': 'B', 'text': 'Château Gazin'}, {'id': 'C', 'text': 'Château Nénin'}, {'id': 'D', 'text': 'Château Beauregard'}]",D,"[1] Placed on the eastern outskirts of Pomerol and the hamlet Catusseau near Saint-Émilion, the estate lies in a cluster with Château Petit-Village, Vieux Château Certan and Château La Conseillante.",,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=PASS,C2=PASS,C4=WARN",,warn_only
c9a12615-4ba3-4ad8-b222-2ad7b1b95d22,WB-GRP-0509-L1,template,template_only,grape_varieties,1,comprehension,"Based on the source fact, Riesling is cultivated in which country?","[{'id': 'A', 'text': 'Argentina'}, {'id': 'B', 'text': 'Australia'}, {'id': 'C', 'text': 'Austria'}, {'id': 'D', 'text': 'Canada'}]",B,[1] Riesling is a widely reviewed grape variety in Australia.,,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=PASS,C2=PASS,C4=PASS",,warn_only
c3bb1170-337c-4e5e-ac8b-812901b6e8b3,WB-GRP-1012-L2,comparative,llama,grape_varieties,2,analysis,"Which wine region is located in the shrub-steppe eastern half of a state, where nearly all of the state's wine grape production takes place?","[{'id': 'A', 'text': 'Columbia Valley AVA'}, {'id': 'B', 'text': 'Willamette Valley AVA'}, {'id': 'C', 'text': 'Big Valley District-Lake County AVA'}, {'id': 'D', 'text': 'Washington wine'}]",D,"[1] While there are some viticultural activities in the cooler, wetter western half of the state, the majority (99.9%) of wine grape production takes place in the shrub-steppe eastern half.
---
[2] Big Valley District-Lake County AVA permits the Merlot grape variety.",,,,,,,,,,,,"A1=FAIL,A3=WARN,B1=FAIL,B2=PASS,C2=PASS,C4=PASS",B1_TriJudgeAnswer,drop_critical
5ee74b64-9e8c-4857-a1b7-e5840404512a,WB-PRD-0719-L4,distractor_mining,llama,producers,4,analysis,Which Spanish winery produces Cava under the Cava DOP appellation?,"[{'id': 'A', 'text': 'Cava Canals i Domingo'}, {'id': 'B', 'text': 'Vera de Estenas Viñedos y Bodegas'}, {'id': 'C', 'text': 'Cellers de Cal Ventosa'}, {'id': 'D', 'text': 'Caves Canals & Munné'}]",B,"[1] Cellers de Cal Ventosa winery is located in Banyeres del Penedès, Spain.
---
[2] Cava Canals i Domingo winery is located in Sant Sadurní d'Anoia, Spain.
---
[3] The Vera de Estenas Viñedos y Bodegas winery also produces Cava under the Cava DOP appellation.
---
[4] Caves Canals & Munné winery is located in Sant Sadurní d'Anoia, Spain.
---
[5] Since then, the winery has quickly built up a reputation for producing quality wines.",,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=PASS,C2=PASS,C4=WARN",,warn_only
145fad2d-f613-471a-a05d-7a6f0c1c8df0,WB-PRD-0801-L1,template,template_only,producers,1,recall,Name the wine region where Château Marquis d'Alesme Becker is found.,"[{'id': 'A', 'text': 'Vouvray'}, {'id': 'B', 'text': 'France'}, {'id': 'C', 'text': 'Gauthier'}, {'id': 'D', 'text': 'Nice'}]",B,[1] Château Marquis d'Alesme Becker is a wine producer located in France.,,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
47025bc5-2180-4cfc-aa8e-7e8652b8f2c5,WB-WMK-0442-L2,fact_to_question,claude,winemaking,1,recall,"In traditional Champagne production, how are base wines handled when they are considered too delicate to withstand first fermentation in oak barrels?","[{'id': 'A', 'text': 'They are chaptalized to increase structural weight'}, {'id': 'B', 'text': 'They are fermented in stainless steel or enameled vats'}, {'id': 'C', 'text': 'They are blended with reserve wines prior to fermentation'}, {'id': 'D', 'text': 'They undergo extended skin contact before pressing'}]",B,[1] Wines that will not hold up to first fermentation in wood are vinified in vats.,,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=PASS,B2=FAIL,C2=PASS,C4=WARN",B2_ClosedBookSolvability,drop_critical
5c709895-14d8-4eb1-913b-16fa7d4352b2,WB-BIZ-0286-L4,distractor_mining,claude,wine_business,4,analysis,"A Spanish wine zone covers roughly 6,000 hectares of protected vineyards, yielding on average about 40 million kilograms of grapes each vintage, which translates to some 320,000 hectoliters of must. Which of the following entities is being described?","[{'id': 'A', 'text': 'Denominación de Origen (as an EU PDO category)'}, {'id': 'B', 'text': 'Cariñena DOP'}, {'id': 'C', 'text': 'Vega Sicilia'}, {'id': 'D', 'text': 'Condado de Huelva'}]",D,"[1] The protected area is approximately 6,000 ha, with an average grape production of 40 million kg, equivalent to 320,000 hl of must.
---
[2] Vega Sicilia's wines are recognised worldwide as some of the finest and most valued red wines on the market.
---
[3] In 2016, the use of the Denominación de Origen (DO) for wines was registered as a European Union Protected Designations of Origin/Denominación de Origen Protegida (PDO/DOP).
---
[4] The traditional robust, high alcohol content wines are still produced for local consumption, but now fruitier.",,,,,,,,,,,,"A1=PASS,A3=WARN,B1=FAIL,B2=PASS,C2=PASS,C4=PASS",B1_TriJudgeAnswer,drop_critical
54a60f1f-c46b-44b3-90f6-2bf4516f79ba,WB-REG-1582-L2,comparative,claude,wine_regions,1,analysis,"This American Viticultural Area is located in a coastal, maritime-influenced setting and encompasses a sub-AVA known as The Hamptons. Which AVA is being described?","[{'id': 'A', 'text': 'North Fork of Long Island AVA'}, {'id': 'B', 'text': 'Finger Lakes AVA'}, {'id': 'C', 'text': 'Long Island AVA'}, {'id': 'D', 'text': 'Paso Robles AVA'}]",C,"[1] Paso Robles AVA contains the Adelaida District AVA.
---
[2] Long Island AVA contains the The Hamptons AVA.",,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
