uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,notes
fc2b561d-f12f-4a83-8f7f-f69493b3d62c,WB-GRP-0121-L2,comparative,chatgpt,grape_varieties,2,analysis,"A compliance officer is checking two proposed single-varietal labels. One wine is made from a grape authorized in Lenswood, while the other uses a grape allowed in Mount Gambier. Which pairing matches those regions correctly?","[{'id': 'A', 'text': 'Lenswood — the variety named only for Lenswood; Mount Gambier — Pinot Noir'}, {'id': 'B', 'text': 'Lenswood — Pinot Noir; Mount Gambier — the variety named only for Lenswood'}, {'id': 'C', 'text': 'Neither region allows Pinot Noir or the variety listed for Lenswood'}, {'id': 'D', 'text': 'Both regions permit Pinot Noir'}]",A,"[1] Lenswood wine sub-region permits the | varietals = grape variety.
---
[2] Mount Gambier wine region permits the Pinot Noir grape variety.",,,,,,,,,
234d793b-1232-456f-b3d0-1bb3fa5cc305,WB-PRD-0146-L3,scenario_synthesis,gemini,producers,3,analysis,"A winemaker in the Languedoc region is reviewing a draft label for their upcoming vintage before sending it to the printer. The proposed packaging displays the brand name ""Château des Vents,"" along with the identities of both the estate that crafted the wine and the commercial vendor distributing it. However, the draft completely omits any details about the third-party facility that actually filled the bottles. Based on EU packaging regulations, which assessment of this draft is accurate?","[{'id': 'A', 'text': 'The identity of the packaging facility must be added, and the brand name must be altered because the specific term used is strictly reserved for estates within Bordeaux.'}, {'id': 'B', 'text': ""The brand name is acceptable, but the commercial vendor's identity must be removed, as only the creator and the packaging facility are legally permitted on the packaging.""}, {'id': 'C', 'text': ""The draft is fully compliant because displaying the commercial vendor's identity legally replaces the requirement to show the packaging facility's details.""}, {'id': 'D', 'text': 'The brand name is permissible despite the region, and listing the vendor is allowed, but the identity and physical location of the packaging facility must be added.'}]",D,"[1] Although the word château is most associated with Bordeaux, it does not mean that the wine does come from Bordeaux.
---
[2] The label must also include the name and address of the bottler of the wine.
---
[3] === Bottler and importer information ===
A wine label may include the producer, the bottler and the merchant's names.",,,,,,,,,
5a0a6774-2152-4d2b-9f4d-6dba210a4417,WB-GRP-0146-L3,scenario_synthesis,gemini,grape_varieties,3,analysis,"A domestic winemaker is preparing Certificate of Label Approval applications for three distinct single-varietal bottlings. The marketing department intends to print the specific vine types—Baga, Frontenac, and Roussanne—directly on the front of the consumer packaging. According to federal alcohol labeling rules, which of these designations are legally recognized for this purpose?","[{'id': 'A', 'text': 'The federal regulatory agency permits all three designations to appear on domestic packaging.'}, {'id': 'B', 'text': 'Roussanne and Baga are recognized, but the cold-hardy Frontenac is excluded from federal lists.'}, {'id': 'C', 'text': 'Frontenac and Roussanne are authorized, whereas Baga lacks official recognition for domestic packaging.'}, {'id': 'D', 'text': 'The agency only recognizes Roussanne; the other two must use proprietary or generic naming.'}]",A,"[1] Frontenac is an approved grape variety name for use on US wine labels per TTB regulations.
---
[2] Baga is an approved grape variety name for use on US wine labels per TTB regulations.
---
[3] Roussanne is an approved grape variety name for use on US wine labels per TTB regulations.",,,,,,,,,
c102e38a-6d74-48d5-af04-14500518b91b,WB-PRD-0122-L2,fact_to_question,llama,producers,2,recall,The success of wines from which New Zealand region attracted investment from large Champagne producers in the late 20th century?,"[{'id': 'A', 'text': ""Hawke's Bay""}, {'id': 'B', 'text': 'Wairarapa'}, {'id': 'C', 'text': 'Central Otago'}, {'id': 'D', 'text': 'Marlborough'}]",D,[1] The suitability of the Marlborough terroir and success of the wines produced over the next 20 years were sufficient to attract investment from large Champagne producers.,,,,,,,,,
022ad08d-d12e-4c21-84dc-a12903c88bc0,WB-GRP-0143-L4,scenario_synthesis,qwen,grape_varieties,4,analysis,"A winemaker in Tuscany is monitoring their Sangiovese vineyards in late September. Weather records show unusually persistent rainfall and cooler-than-average nighttime temperatures over the past two weeks. The winemaker is now evaluating whether to delay harvest. Additionally, recent sensory analyses of grape samples indicate developing flavors of tart red cherry, with subtle earthy and tea-like nuances. Given these conditions, what is the most critical factor influencing the decision on harvest timing?","[{'id': 'A', 'text': ""The risk of dilution or fungal pressure due to prolonged wet conditions, which could compromise the grape's structure and flavor profile""}, {'id': 'B', 'text': 'The desire to maximize sugar accumulation, since Sangiovese naturally achieves high alcohol levels close to harvest'}, {'id': 'C', 'text': 'The need to wait for deeper color development, as Sangiovese typically requires extended hang time for phenolic maturity'}, {'id': 'D', 'text': 'The expectation that warmer days will soon offset the cool nights, allowing for more balanced ripening'}]",A,"[1] Sangiovese is due to cooler nighttime temperatures and high propensity for rainfall in September and October that can affect harvest time.
---
[2] === Italy ===
In Italy, Sangiovese is the most widely planted red grape variety.
---
[3] Syrah, Sangiovese often has a flavour profile of sour red cherries with earthy aromas and tea leaf notes.",,,,,,,,,
727c4bd6-60f1-4732-acfe-1f8d595a6f31,WB-GRP-0096-L3,template,template_only,grape_varieties,3,recall,Identify the wine region most strongly associated with Pinot blanc.,"[{'id': 'A', 'text': 'Chalone AVA'}, {'id': 'B', 'text': 'San Antonio Valley AVA'}, {'id': 'C', 'text': 'Côte Chalonnaise'}, {'id': 'D', 'text': 'Chablis wine'}]",A,[1] Chalone AVA permits the Pinot blanc grape variety.,,,,,,,,,
d0ade512-8b6d-45f0-8262-e795e74fcc04,WB-PRD-0103-L4,template,template_only,producers,4,recall,Identify the wine region in which celler cooperatiu de la Granada is based.,"[{'id': 'A', 'text': 'La Granada'}, {'id': 'B', 'text': 'Bodegas Vicente Gandia'}, {'id': 'C', 'text': 'Alentejo wine'}, {'id': 'D', 'text': 'Argentine wine'}]",A,"[1] celler cooperatiu de la Granada is a wine producer in La Granada, Spain.",,,,,,,,,
deaaf4ed-14df-44f0-92d3-37033bbc6b2f,WB-VIT-0109-L3,comparative,claude,viticulture,3,analysis,"A viticultural researcher is studying an AVA in the Pacific Northwest where a major river and an associated reservoir together account for nearly a quarter of the appellation's total 32,000-acre footprint. Which AVA fits this description?","[{'id': 'A', 'text': 'Borden Ranch AVA'}, {'id': 'B', 'text': 'Columbia Valley AVA'}, {'id': 'C', 'text': 'Lodi AVA'}, {'id': 'D', 'text': 'Rocky Reach AVA'}]",D,"[1] Borden Ranch is an American Viticultural Area (AVA) located in southern Sacramento and northern San Joaquin Counties in the east-central portion of the larger Lodi appellation.
---
[2] The AVA encompasses 32,000 acres (50 sq mi) with the Columbia River and the Rocky Reach Reservoir constituting approximately 24 percent of the total area.",,,,,,,,,
b0d90c60-e8bf-422e-9450-a767735bdf27,WB-REG-0120-L2,fact_to_question,llama,wine_regions,2,recall,Which Italian wine region is directly expressed through the terroir captured in Trentodoc wines?,"[{'id': 'A', 'text': 'Tuscany'}, {'id': 'B', 'text': 'Piedmont'}, {'id': 'C', 'text': 'Trentino'}, {'id': 'D', 'text': 'Veneto'}]",C,"[1] È espressione diretta della terra che lo produce , il Trentino. Di esso Trentodoc racchiude il clima, le altitudini e l’essenza.",,,,,,,,,
58731e9e-203a-4b47-9f0d-adf625e4abcf,WB-GRP-0134-L3,comparative,claude,grape_varieties,3,analysis,"A sommelier is building a tasting flight featuring two California regions. She wants to pour a Chenin blanc from one region alongside a Chardonnay from the other, using only grapes officially sanctioned in each area. Which pairing of region to grape correctly reflects what each appellation allows?","[{'id': 'A', 'text': 'Both grapes sourced exclusively from the Santa Lucia Highlands AVA'}, {'id': 'B', 'text': 'Chenin blanc from the Santa Lucia Highlands AVA; Chardonnay from Monterey County'}, {'id': 'C', 'text': 'Chenin blanc from Monterey County; Chardonnay from the Santa Lucia Highlands AVA'}, {'id': 'D', 'text': 'Chardonnay from Monterey County; Chenin blanc from the Santa Lucia Highlands AVA'}]",C,"[1] Monterey County wine permits the Chenin blanc grape variety.
---
[2] Santa Lucia Highlands AVA permits the Chardonnay grape variety.",,,,,,,,,
ee5c928d-b9a4-48f6-8cb0-64de560f349b,WB-WMK-0118-L2,comparative,gemini,winemaking,2,analysis,"A vintner produces a highly concentrated sweet wine by relying on moisture loss driven by a beneficial vineyard fungus, or by extracting juice from berries that have frozen solid on the vine. Which grape is associated with these specific production methods?","[{'id': 'A', 'text': 'Grauburgunder'}, {'id': 'B', 'text': 'Silvaner'}, {'id': 'C', 'text': 'Müller-Thurgau'}, {'id': 'D', 'text': 'Riesling'}]",D,"[1] Through evaporation caused by the fungus Botrytis cinerea (""noble rot"") or by freezing and pressing (as is the case for ice wine – in German: Eiswein).
---
[2] Grauburgunder can lead to either a sweeter wine or if fermented to dryness, a wine high in alcohol.",,,,,,,,,
ecdab857-b3af-466d-8d73-1a7ced893970,WB-REG-0090-L3,template,template_only,wine_regions,3,recall,Identify the broader region containing Castel del Monte Nero di Troia Riserva.,"[{'id': 'A', 'text': 'Puglia'}, {'id': 'B', 'text': 'Verduzzo Trevigiano'}, {'id': 'C', 'text': 'Trentino'}, {'id': 'D', 'text': 'Langhe'}]",A,[1] Castel del Monte Nero di Troia Riserva is a DOCG appellation in the Puglia region of Italy.,,,,,,,,,
bbe3781d-a746-4672-9102-9709d5bfd7fa,WB-VIT-0111-L3,comparative,claude,viticulture,3,analysis,"A wine educator describes an American Viticultural Area situated in the northern reaches of California, straddling two counties—Shasta and Tehama—well removed from the more famous coastal wine regions. Which AVA fits this description?","[{'id': 'A', 'text': 'Stags Leap District AVA'}, {'id': 'B', 'text': 'Manton Valley AVA'}, {'id': 'C', 'text': 'Yountville AVA'}, {'id': 'D', 'text': 'Oak Knoll District AVA'}]",B,"[1] Stags Leap District is an American Viticultural Area (AVA) located in Napa County, California, directly east of the town of Yountville and approximately seven miles (11.
---
[2] Manton Valley is an American Viticultural Area (AVA) spanning across Shasta and Tehama Counties, in north-central California.",,,,,,,,,
8b8b3d1d-4c71-416e-90e3-ff57dbd7de90,WB-GRP-0100-L1,template,template_only,grape_varieties,1,recall,Identify the country of origin of the Blaufränkisch grape.,"[{'id': 'A', 'text': 'Austria'}, {'id': 'B', 'text': 'Germany'}, {'id': 'C', 'text': 'US'}, {'id': 'D', 'text': 'Slovenia'}]",A,[1] Blaufränkisch is a widely reviewed grape variety in Austria.,,,,,,,,,
b9254fc2-e067-4115-80c6-a750bbb7187e,WB-PRD-0124-L2,fact_to_question,qwen,producers,2,recall,"Which individual, a third-generation farmer educated in winemaking and viticulture in California during the 1960s, co-founded Cape Mentelle Vineyards with his brothers Mark and Giles?","[{'id': 'A', 'text': 'David Hohnen'}, {'id': 'B', 'text': 'Mark Cordell'}, {'id': 'C', 'text': 'David Gonsalves'}, {'id': 'D', 'text': 'Michael Hohnen'}]",A,"[1] Cape Mentelle Vineyards was founded by David Hohnen, a third-generation farmer who studied wine making and viticulture in California in the 1960s, and his brothers Mark and Giles.",,,,,,,,,
7d94964c-9000-4832-9bcc-1cc55465c3d9,WB-WMK-0122-L4,scenario_synthesis,llama,winemaking,4,application,"A winemaker is deciding on the aging regimen for their upcoming releases. They plan to produce a Chianti Classico Riserva, a Barolo DOCG, and a Franciacorta DOCG Millesimato. To meet the minimum legal requirements for all three wines, what is the shortest total time they must age the wines before release?","[{'id': 'A', 'text': '104 months'}, {'id': 'B', 'text': '84 months'}, {'id': 'C', 'text': '96 months'}, {'id': 'D', 'text': '92 months'}]",D,"[1] Chianti Classico Riserva must be aged for a minimum of 24 months, including at least 3 months in bottle.
---
[2] Barolo DOCG requires a minimum of 38 months aging, of which at least 18 months must be in oak.
---
[3] Franciacorta DOCG Millesimato (vintage) requires a minimum of 30 months aging on the lees.",,,,,,,,,
80fd3ee2-468c-4a33-bf6b-a2a20499d906,WB-GRP-0122-L2,comparative,chatgpt,grape_varieties,2,analysis,"A grower is choosing between two AVAs for a single-varietal planting. One site must allow Pinot noir, while the other must allow Barbera. Which pairing matches those planting goals correctly?","[{'id': 'A', 'text': 'Both AVAs allow Barbera but not Pinot noir'}, {'id': 'B', 'text': 'Both AVAs allow Pinot noir but not Barbera'}, {'id': 'C', 'text': 'Diablo Grande AVA for Pinot noir, and Kelsey Bench-Lake County AVA for Barbera'}, {'id': 'D', 'text': 'Diablo Grande AVA for Barbera, and Kelsey Bench-Lake County AVA for Pinot noir'}]",C,"[1] Diablo Grande AVA permits the Pinot noir grape variety.
---
[2] Kelsey Bench-Lake County AVA permits the Barbera grape variety.",,,,,,,,,
68a04ee7-2895-4899-9970-14b24cd52302,WB-REG-0129-L3,scenario_synthesis,claude,wine_regions,3,synthesis,"A Californian winemaker accustomed to working in a Region III climate zone on the Winkler scale is evaluating vineyard sites in South Africa for a new project. She wants to source fruit from an officially demarcated production area whose climate profile she can readily translate into her existing winemaking protocols, and she also wants a track record of international recognition to support the brand launch. Which sourcing approach best fits her criteria?","[{'id': 'A', 'text': 'Avoid South Africa entirely, since its wine regions generally sit in Winkler Region I and would require completely different vinification protocols than California fruit.'}, {'id': 'B', 'text': ""Source from Elgin in the Western Cape, an award-winning area within South Africa's formal appellation hierarchy established in 1973, noting that most South African wine regions fall into a Winkler Region III classification similar to California.""}, {'id': 'C', 'text': 'Source from Elgin, but expect a Winkler Region V heat summation that will require protective winemaking techniques unfamiliar to a California-trained winemaker.'}, {'id': 'D', 'text': 'Source from an unclassified South African grower outside the Wine of Origin framework, since the 1973 appellation system restricts international sales.'}]",B,"[1] Elgin, Western Cape wines from the region have won several international awards.
---
[2] South African wine was implemented in 1973, with a hierarchy of designated production regions, districts.
---
[3] On the Winkler scale, the majority of South African wine regions would be classified as Region III locations with heat summation and degree days similar to the California wine region.",,,,,,,,,
c96b9cd5-f7c5-4813-9ab4-97f0e1b1bbe1,WB-REG-0110-L2,fact_to_question,qwen,wine_regions,2,recall,Which individual played a key role in securing official 'Wine of Origin' status for a South African region in 2005 through discussions with the national wine information service?,"[{'id': 'A', 'text': 'Annette Cutler'}, {'id': 'B', 'text': 'Lizelle Muller'}, {'id': 'C', 'text': 'Judy van Niekerk'}, {'id': 'D', 'text': 'Nikki van Schalkwyk'}]",C,"[1] Judy van Niekerk was responsible for having KZN designated as a ""Wine of Origin"" region in 2005 after negotiations with SAWIS.",,,,,,,,,
19c44339-ab81-4480-a791-4a5b342f916c,WB-PRD-0127-L3,comparative,claude,producers,3,analysis,"A small winery on Michigan's Leelanau Peninsula has dedicated a parcel to an Italian red grape, joining a handful of growers in Oregon's Umpqua Valley and Southern Oregon AVAs who also cultivate the same variety. Which wine is being described?","[{'id': 'A', 'text': 'Sangiovese'}, {'id': 'B', 'text': 'Dolcetto'}, {'id': 'C', 'text': 'Barbera'}, {'id': 'D', 'text': 'Super Tuscan'}]",B,"[1] Producers who deviated from these regulations could not use the Chianti name on their wine labels and would be classified as vino da tavola—Italy's lowest wine designation.
---
[2] There are also some plantings in the Oregon AVAs of Umpqua Valley AVA and Southern Oregon AVA, Michigan's Leelanau Peninsula AVA (Ciccone Vineyard & Winery).",,,,,,,,,
423d3ea1-2507-4e7a-bc27-4b3d1525f5b5,WB-PRD-0131-L2,comparative,qwen,producers,2,analysis,"A wine region in northern Italy gained acclaim in the mid-20th century when producers revived a rich, full-bodied style by intentionally selecting fermentation methods that could handle high sugar concentrations in the must. This technique transformed a once-neglected method into a celebrated modern expression. Which region is described?","[{'id': 'A', 'text': 'Valpolicella'}, {'id': 'B', 'text': 'Brunello di Montalcino'}, {'id': 'C', 'text': 'Chianti'}, {'id': 'D', 'text': 'Barolo'}]",A,"[1] The modern concept of Amarone has its roots in the early 1950s when producers ""rediscovered"" the style and began deliberately using yeast strains that could ferment the high levels of.
---
[2] Barolo new, ""dry"" red wine soon became a favourite among the nobility of Turin and the ruling House of Savoy.",,,,,,,,,
3f58a69b-f219-4326-b530-e3a810f1d91f,WB-VIT-0089-L2,fact_to_question,claude,viticulture,2,recall,"In the sparkling wine appellation of Trentodoc in northern Italy, which climatic feature of the high-elevation vineyards is most responsible for retaining natural acidity in the grapes?","[{'id': 'A', 'text': 'The pronounced day-to-night temperature swing typical of alpine growing sites'}, {'id': 'B', 'text': 'The moderating maritime influence of the nearby Adriatic Sea'}, {'id': 'C', 'text': 'Warm, dry föhn winds that concentrate sugars in the fruit'}, {'id': 'D', 'text': 'Persistent afternoon fog rolling in from Lake Garda during ripening'}]",A,"[1] Trentodoc vineyards are characterized by mountain viticulture with significant diurnal temperature variation, which helps preserve acidity in the grapes.",,,,,,,,,
4b8fe3e1-2d86-46f7-9014-b1cfaa779c59,WB-PRD-0087-L1,template,template_only,producers,1,recall,True or False: the producer Force Majeure Vineyards sits within the United States wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Force Majeure Vineyards is a wine producer located in United States.,,,,,,,,,
5afba1f2-e2ab-4188-80b1-edfc1cc8fc89,WB-BIZ-0085-L2,fact_to_question,qwen,wine_business,2,recall,Which group of producers in the Nahe region holds the largest export market share despite most of the region's wine being consumed within Germany?,"[{'id': 'A', 'text': 'The members of the VDP from the Nahe region'}, {'id': 'B', 'text': 'The organic-certified estates outside the VDP'}, {'id': 'C', 'text': 'The cooperatives of the Nahe Valley'}, {'id': 'D', 'text': 'The bulk wine suppliers to German supermarkets'}]",A,[1] Today the majority of Nahe wine is consumed domestically with the nine member estates of the VDP having the largest export market of the region.,,,,,,,,,
2f5cc1c4-2c64-4c4c-9a5c-9ede04d9edb1,WB-REG-0122-L2,comparative,chatgpt,wine_regions,2,analysis,"A student is sorting Italian wine terms into two groups: named appellation wines and grapes used in regional blends. One entry is described as a Tuscan red with DOCG status grown around a town in Siena, roughly 80 km below Florence. Which entry fits that description?","[{'id': 'A', 'text': 'Molinara'}, {'id': 'B', 'text': 'Corvina'}, {'id': 'C', 'text': 'Brunello di Montalcino'}, {'id': 'D', 'text': 'Rondinella'}]",C,"[1] Italian wine adds acidity to the wines of the Valpolicella and Bardolino regions, which are made with blends of Corvina, Corvinone, Molinara and Rondinella.
---
[2] Brunello di Montalcino is a red DOCG Italian wine produced in the vineyards surrounding the town of Montalcino, in the province of Siena, located about 80 km south of Florence.",,,,,,,,,
0ffefe08-c795-4bad-abb5-03bb9092b5c9,WB-WMK-0105-L2,comparative,qwen,winemaking,2,analysis,"A wine label from 2010 lists 100% Chardonnay as the grape variety and is classified under an Italian DOC with a requirement for secondary fermentation pressure exceeding 3 atmospheres. Another wine from the same year, labeled as Chianti Classico, contains only red grapes despite historical blends that once included white varieties. Which classification enforces a minimum pressure for sparkling wine production, and which currently restricts white grape usage in its red wine blends?","[{'id': 'A', 'text': 'Trento DOC requires minimum pressure; Chianti Classico prohibits white grape varieties'}, {'id': 'B', 'text': 'Trento DOC prohibits white grape varieties; Chianti Classico requires minimum pressure'}, {'id': 'C', 'text': 'Both require minimum pressure and prohibit white grape varieties'}, {'id': 'D', 'text': 'Chianti Classico requires minimum pressure; Trento DOC prohibits white grape varieties'}]",A,"[1] Trento DOC must have a minimum pressure of 3.5 atmospheres.
---
[2] White grape varieties are no longer permitted in Chianti Classico DOCG since the 2006 regulations.",,,,,,,,,
ad846d24-0710-426d-b51f-2c1ed52c421b,WB-VIT-0116-L2,comparative,chatgpt,viticulture,2,analysis,"A student is trying to identify a California wine region from two clues: it is not a single AVA itself, but a broader county wine area that contains a dozen federally recognized viticultural districts as of 2024. Which option fits that description?","[{'id': 'A', 'text': 'Clear Lake'}, {'id': 'B', 'text': 'Mendocino County wine'}, {'id': 'C', 'text': 'Lake County, California'}, {'id': 'D', 'text': 'Red Hills Lake County AVA'}]",B,"[1] As of 2024, twelve American Viticultural Area (AVA) have been designated within Mendocino County.
---
[2] Red Hills Lake County is an American Viticultural Area (AVA) located in Lake County, California adjacent to the southwestern shoreline of Clear Lake.",,,,,,,,,
1a8d2cd8-2d22-491e-a4b9-d8a816eb5750,WB-PRD-0099-L3,template,template_only,producers,3,recall,Which region houses the producer Château Margaux?,"[{'id': 'A', 'text': 'Margaux-Cantenac'}, {'id': 'B', 'text': 'Carménère'}, {'id': 'C', 'text': 'Château Gruaud-Larose'}, {'id': 'D', 'text': 'Romanée-Conti'}]",A,[1] Château Margaux is a wine producer located in Margaux-Cantenac.,,,,,,,,,
c37ea1e2-e946-4f58-8843-0c4513e26768,WB-PRD-0096-L2,template,template_only,producers,2,recall,True or False: Burrowing Owl is located in the British Columbia wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Burrowing Owl is a wine producer in the British Columbia region of Canada.,,,,,,,,,
