uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_fact,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,notes
8d185dae-1e11-4339-b291-81ffd3002d23,WB-VIT-0011-L2,fact_to_question,gemini,viticulture,2,recall,"In pozzolanic soils, what causes calcium (Ca) and magnesium (Mg) to be less mobile?","[{'id': 'A', 'text': 'The excessive leaching of clay minerals'}, {'id': 'B', 'text': 'The minimal weathering of clinopyroxene'}, {'id': 'C', 'text': 'The high concentration of active limestone'}, {'id': 'D', 'text': 'The rapid decomposition of potassium feldspar'}]",B,"This indicates that in pozzolanic soils, Ca and Mg are less mobile due to the minimal weathering of clinopyroxene.",,,,,,,,,
fa8b067b-3f30-48b2-ae0a-908c0ba61dbb,WB-VIT-0042-L2,comparative,chatgpt,viticulture,2,analysis,"A student is trying to identify an AVA from field notes. The region is described not by its state or nearby city, but by a topographic profile that runs from alluvial fans and terraces above 350 feet to low-lying hills reaching about 800 feet. Which AVA best fits those notes?","[{'id': 'A', 'text': 'Both AVAs equally fit'}, {'id': 'B', 'text': 'San Lucas AVA'}, {'id': 'C', 'text': 'Sonoita AVA'}, {'id': 'D', 'text': 'Neither AVA fits'}]",B,Vineyards locations range from alluvial fans and terraces over 350 feet (107 m) above sea level to low-lying hills having maximal elevations of 800 feet (244 m) above sea level.,,,,,,,,,
1e438aca-17a5-45dd-af2d-957aaedf7ff0,WB-BIZ-0070-L4,distractor_mining,claude,wine_business,4,analysis,"Following Brexit and subsequent regulatory changes in the UK, this category of wine no longer requires labelling of geographical origin, and producers may now market examples with less than 8.5% alcohol by volume, including fully de-alcoholised versions. Which category is being described?","[{'id': 'A', 'text': 'English wine'}, {'id': 'B', 'text': 'English sparkling wine (protected PDO/PGI term)'}, {'id': 'C', 'text': 'Welsh Regional wine'}, {'id': 'D', 'text': 'Sussex wine'}]",A,"Since Brexit and law change, labelling of geographical origin is no more needed and it is possible to have wine with less than 8.5% of alcohol including wine without alcohol.",,,,,,,,,
0fe814b5-fab3-420b-b59e-060feb87f8be,WB-GRP-0064-L2,scenario_synthesis,claude,grape_varieties,2,synthesis,"An Israeli winery is planning the varietal mix for a new 40-hectare estate. The owners want the majority of plantings to reflect the country's most commercially established international varieties, with a smaller portion dedicated to varieties with local or niche significance. The winery also intends to produce a certified kosher bottling from at least one block. Which planting plan best fits these goals?","[{'id': 'A', 'text': 'Plant only Cabernet Sauvignon and Merlot across the entire estate, since kosher certification requires the exclusion of white varieties.'}, {'id': 'B', 'text': 'Devote equal area to Argaman and Cabernet Sauvignon, and ensure the kosher block is handled only by observant Jews from the moment of bottling onward.'}, {'id': 'C', 'text': 'Devote the majority to Argaman, Emerald Riesling, and Muscat of Alexandria, with a small block of Cabernet Sauvignon reserved for the kosher bottling handled only by observant Jews from crush onward.'}, {'id': 'D', 'text': 'Devote the majority to Cabernet Sauvignon, Chardonnay, Merlot, and Sauvignon Blanc, with smaller blocks of Emerald Riesling, Muscat of Alexandria, and Argaman; designate one of the major-variety blocks to be handled exclusively by observant Jews from crush onward for the kosher bottling.'}]",D,"Other varieties planted to some significant degree include Emerald Riesling, Muscat of Alexandria and the crossing Argaman.",,,,,,,,,
8ea13ce6-d4c9-42cf-8f52-cad63aebac5b,WB-REG-0010-L1,template,template_only,wine_regions,1,recall,Which country is the California wine region located in?,"[{'id': 'A', 'text': 'US'}, {'id': 'B', 'text': 'South Africa'}, {'id': 'C', 'text': 'France'}, {'id': 'D', 'text': 'New Zealand'}]",A,Bennett Valley is a wine-producing area within the California region of US.,,,,,,,,,
7339113e-eff7-4f98-aff6-a5845210ff6e,WB-WMK-0069-L4,distractor_mining,llama,winemaking,4,analysis,Which piece of equipment is needed to view yeast and bacteria at a magnification of 1000x?,"[{'id': 'A', 'text': 'Fermentation tank'}, {'id': 'B', 'text': 'SO2 tolerant control'}, {'id': 'C', 'text': 'Microscope'}, {'id': 'D', 'text': 'Cap management system'}]",C,"Overall, fermentation temperature had a more significant impact on the sensory and volatile composition of Pinot noir wines than the cap management regime.",,,,,,,,,
fd78a873-8a36-43ab-910a-a51a54f56dc7,WB-REG-0038-L2,fact_to_question,claude,wine_regions,2,recall,Clear Lake AVA is a sub-appellation contained within which larger California AVA?,"[{'id': 'A', 'text': 'North Coast AVA'}, {'id': 'B', 'text': 'Central Coast AVA'}, {'id': 'C', 'text': 'Northern Sonoma AVA'}, {'id': 'D', 'text': 'Sierra Foothills AVA'}]",A,Clear Lake AVA is located within the North Coast AVA.,,,,,,,,,
d1f44e4b-2645-4f4b-a48d-417c0c0ed987,WB-WMK-0068-L3,distractor_mining,llama,winemaking,3,analysis,Which winemaking technique results in decreased antioxidant potential and chemical stability due to reduced extraction of phenolic compounds in high-pH musts?,"[{'id': 'A', 'text': 'Short maceration period'}, {'id': 'B', 'text': 'Cation exchange to reduce pH'}, {'id': 'C', 'text': 'Extended maceration'}, {'id': 'D', 'text': 'Choline chloride:oxalic acid extraction'}]",A,"In particular, choline chloride:oxalic acid (1:1 at 40°C) emerged as the best one affording a total phenolic content of 43.0 mg/g (dry weight).",,,,,,,,,
6d6c9db4-d03f-4b9a-883e-43b637507bb9,WB-PRD-0013-L2,template,template_only,producers,2,recall,In which wine region is Castello Banfi located?,"[{'id': 'A', 'text': 'Pierre Gimonnet & Fils'}, {'id': 'B', 'text': 'Squerryes Estate'}, {'id': 'C', 'text': 'Tuscany'}, {'id': 'D', 'text': 'Wine of Origin'}]",C,Castello Banfi is a wine producer in the Tuscany region of Italy.,,,,,,,,,
122fa0f3-5b8e-4550-aa65-2949c10dbf99,WB-PRD-0026-L2,fact_to_question,claude,producers,2,recall,"South Africa's first official wine route was established in 1971 through the collaboration of Frans Malan of Simonsig, Spatz Sperling of Delheim, and Niel Joubert of Spier. In which wine region was this pioneering route founded?","[{'id': 'A', 'text': 'Stellenbosch'}, {'id': 'B', 'text': 'Franschhoek'}, {'id': 'C', 'text': 'Paarl'}, {'id': 'D', 'text': 'Constantia'}]",A,"In 1971, the first official wine route was founded by Frans Malan of Simonsig, Spatz Sperling of Delheim.",,,,,,,,,
d6cd8442-33ef-4bd6-a5e3-b36ab7e2fe64,WB-REG-0020-L3,template,template_only,wine_regions,3,recall,In which sub-region or parent region is Châteauneuf-du-Pape located?,"[{'id': 'A', 'text': 'Groenland mountains'}, {'id': 'B', 'text': 'Rhône Valley'}, {'id': 'C', 'text': 'Coastal Region'}, {'id': 'D', 'text': 'Sundarban Honey'}]",B,Châteauneuf-du-Pape is an AOC appellation in the Rhône Valley region of France.,,,,,,,,,
9902d898-58ef-4b4f-9820-967eb5898374,WB-PRD-0060-L4,scenario_synthesis,gemini,producers,4,synthesis,"A consulting enologist is designing a centralized grape-processing facility to serve a newly formed consortium of three estates: Bulgariana, Castra Rubra, and Domaine Boyar. To minimize oxidation and spoilage during transit, the facility must be centrally located within the specific geographical region where all three of these producers operate. Based on the location of these estates, where must the facility be built?","[{'id': 'A', 'text': 'Danubian Plain, Bulgaria'}, {'id': 'B', 'text': 'Struma River Valley, Bulgaria'}, {'id': 'C', 'text': 'Rose Valley, Bulgaria'}, {'id': 'D', 'text': 'Thracian Valley, Bulgaria'}]",D,Bulgariana is a wine producer in the Thracian Valley region of Bulgaria.,,,,,,,,,
13131981-3274-46a5-9d95-536d4b5186e1,WB-GRP-0048-L3,comparative,claude,grape_varieties,3,analysis,"A California winemaker is scouting AVAs for two separate projects: one focused on a structured, tannic red from Malbec, and another on a classic barrel-fermented Chardonnay. Given the grape varieties each AVA permits, which pairing correctly matches the project to the AVA?","[{'id': 'A', 'text': 'Both projects in Guenoc Valley AVA, which permits both varieties'}, {'id': 'B', 'text': 'Malbec project in Temecula Valley AVA; Chardonnay project in Guenoc Valley AVA'}, {'id': 'C', 'text': 'Malbec project in Guenoc Valley AVA; Chardonnay project in Temecula Valley AVA'}, {'id': 'D', 'text': 'Both projects in Temecula Valley AVA, which permits both varieties'}]",C,Guenoc Valley AVA permits the Malbec grape variety.,,,,,,,,,
a6778964-4784-409c-8c13-4ed80f8ba998,WB-BIZ-0054-L4,scenario_synthesis,chatgpt,wine_business,4,analysis,"A head winemaker at a French estate is planning the next vintage with the export director. The cellar can support either a larger volume line aimed at the single biggest wine-consuming market, or a smaller-volume prestige cuvée intended for the country profile that most strongly supports France's export value through high-priced categories such as Champagne, Bordeaux, and Burgundy. To align production with both market size and France's strongest value-export position, which market pairing should guide the two wines?","[{'id': 'A', 'text': 'Volume line for France; prestige cuvée for Italy'}, {'id': 'B', 'text': 'Volume line for the United States; prestige cuvée for France'}, {'id': 'C', 'text': 'Volume line for France; prestige cuvée for the United States'}, {'id': 'D', 'text': 'Volume line for Italy; prestige cuvée for the United States'}]",B,"France was the world's largest wine exporter by value in 2023, owing to high-value Champagne, Bordeaux, and Burgundy exports.",,,,,,,,,
d7b34436-3e68-4912-a574-e2702a36046d,WB-GRP-0068-L2,scenario_synthesis,chatgpt,grape_varieties,2,analysis,"A winemaker is finalizing a three-wine North Coast red program and is checking whether the planned varietal bottlings align with the permitted grapes for each sourcing area. The cellar plan shows: a Cabernet Franc from Mendocino County, a Cabernet Sauvignon from Kelsey Bench-Lake County AVA, and a Cabernet Sauvignon from Red Hills Lake County AVA. One assistant suggests changing one of these wines because they believe the grape is not permitted in its stated appellation. Based on the permitted varieties for these areas, what is the best decision?","[{'id': 'A', 'text': 'Change the Red Hills Lake County AVA wine because Cabernet Sauvignon is not permitted there.'}, {'id': 'B', 'text': 'Change the Kelsey Bench-Lake County AVA wine because Cabernet Sauvignon is not permitted there.'}, {'id': 'C', 'text': 'Keep all three wines as planned; each grape is permitted in its stated appellation.'}, {'id': 'D', 'text': 'Change the Mendocino County wine because Cabernet Franc is not permitted there.'}]",C,Mendocino County wine permits the Cabernet Franc grape variety.,,,,,,,,,
5965ce40-4a64-4840-823c-9cf8d1d61deb,WB-VIT-0054-L3,scenario_synthesis,gemini,viticulture,3,application,"A novice winemaker is evaluating a recent vintage by analyzing its five basic characteristics. They are satisfied with the wine's sweetness, acidity, body, and alcohol levels, but feel it lacks the fifth characteristic—a phenolic compound that experts note is often confusing to winemakers. To increase the extraction of this specific characteristic in the next batch, which of the following actions should the winemaker take?","[{'id': 'A', 'text': 'Increase the alcohol content to naturally synthesize this phenolic compound without skin contact.'}, {'id': 'B', 'text': ""Extend the juice's contact time with the grape seeds, skins, and stems during maceration.""}, {'id': 'C', 'text': 'Adjust the fermentation temperature to extract more of this compound exclusively from the grape pulp.'}, {'id': 'D', 'text': 'Press the grapes immediately after crushing to separate the juice from the seeds, skins, and stems.'}]",B,"Tannin , on the other hand, is a phenolic compound found in the seeds, skins, and stems of wine grapes.",,,,,,,,,
6bcea6b3-73cb-4886-8192-241e7cca54c5,WB-REG-0029-L2,fact_to_question,gemini,wine_regions,2,recall,In which Italian region is the Val di Cornia Rosso DOCG located?,"[{'id': 'A', 'text': 'Umbria'}, {'id': 'B', 'text': 'Marche'}, {'id': 'C', 'text': 'Piedmont'}, {'id': 'D', 'text': 'Tuscany'}]",D,Val di Cornia Rosso is a DOCG appellation in the Tuscany region of Italy.,,,,,,,,,
0f6cee62-ed35-4e7c-86df-dfe66f55827b,WB-VIT-0066-L4,distractor_mining,llama,viticulture,4,analysis,A wine producer evaluating vineyard expansion opportunities in Georgia in 1985 is presented with these acreage figures — which one corresponds to the total vineyard area in Georgia at that time?,"[{'id': 'A', 'text': '3,700 acres'}, {'id': 'B', 'text': '143,000 acres'}, {'id': 'C', 'text': '15 km2'}, {'id': 'D', 'text': '316,000 acres'}]",D,"In 1950, vineyards in Georgia occupied 143,000 acres, but by 1985 this had reached 316,000 acres due to an increase in demand.",,,,,,,,,
75b86964-8f81-49cc-8d71-1c6dee43151f,WB-BIZ-0030-L2,comparative,gemini,wine_business,2,analysis,"A sommelier is analyzing the median market pricing of regional blends to balance a wine list's budget. When comparing a Red Blend from Piedmont to a White Blend from Washington, what pricing relationship should they expect?","[{'id': 'A', 'text': 'Both blend categories share an identical median price of $18, reflecting standard entry-level pricing for regional blends.'}, {'id': 'B', 'text': 'The Washington White Blend commands a higher median price ($30) than the Piedmont Red Blend ($18).'}, {'id': 'C', 'text': 'The Piedmont Red Blend commands a higher median price ($30) than the Washington White Blend ($18).'}, {'id': 'D', 'text': 'Both blend categories share an identical median price of $30, reflecting a standard premium for these styles.'}]",C,White Blend wines from Washington have a median price of $18.,,,,,,,,,
2cd4411b-33c2-470e-817c-a62dcedb3271,WB-REG-0011-L1,template,template_only,wine_regions,1,recall,Which country is the Neusiedlersee wine region located in?,"[{'id': 'A', 'text': 'Australia'}, {'id': 'B', 'text': 'New Zealand'}, {'id': 'C', 'text': 'South Africa'}, {'id': 'D', 'text': 'Austria'}]",D,The most widely reviewed variety in Neusiedlersee is Zweigelt.,,,,,,,,,
ae0cdf8e-3d38-44b6-ac92-8ac051068887,WB-PRD-0062-L4,scenario_synthesis,gemini,producers,4,application,"During the harvest season, an executive winemaker is coordinating crush logistics for a newly formed Argentine wine group that has acquired Bodega Norton, Salentein, and Michel Torino. To optimize fermentation space and minimize transport times, the winemaker mandates that all fruit originating from producers in the Mendoza Province region must be processed at the group's central Mendoza crush pad. Meanwhile, fruit from producers located in the 'Other' region of Argentina will be routed to a separate facility. Based on the geographic locations of these producers, which processing plan must the winemaker implement?","[{'id': 'A', 'text': 'Route Salentein and Michel Torino to the central Mendoza crush pad, and Bodega Norton to the separate facility.'}, {'id': 'B', 'text': 'Route Bodega Norton and Michel Torino to the central Mendoza crush pad, and Salentein to the separate facility.'}, {'id': 'C', 'text': 'Route Michel Torino to the central Mendoza crush pad, and both Bodega Norton and Salentein to the separate facility.'}, {'id': 'D', 'text': 'Route Bodega Norton and Salentein to the central Mendoza crush pad, and Michel Torino to the separate facility.'}]",D,Michel Torino is a wine producer in the Other region of Argentina.,,,,,,,,,
bc360bbe-b4f2-4a96-951f-25e9e4161f06,WB-GRP-0060-L4,scenario_synthesis,gemini,grape_varieties,4,application,"An Australian winemaker is processing a historic red grape variety that was introduced in the 18th century and was once the country's most widely planted red grape. The fruit was harvested very ripe, producing a sweet juice with a jam-like consistency. Given the specific vulnerabilities of this variety, which winemaking approach should be prioritized?","[{'id': 'A', 'text': 'Encouraging deliberate oxidative handling to reduce the jam-like sweetness and enhance its naturally stable color.'}, {'id': 'B', 'text': 'Employing aggressive micro-oxygenation to stabilize its naturally deep, dark pigmentation and soften its high tannins.'}, {'id': 'C', 'text': 'Withholding sulfur dioxide additions to allow the sweet juice to naturally polymerize its robust anthocyanins.'}, {'id': 'D', 'text': 'Utilizing inert gas blanketing during pump-overs to protect against its high susceptibility to oxidation and color loss.'}]",D,Grenache was one of the first varieties to be introduced to Australia in the 18th century and eventually became the country's most widely planted red wine grape variety until it.,,,,,,,,,
d5fd9df9-8db0-4003-8156-6247c24ac03e,WB-VIT-0035-L2,comparative,qwen,viticulture,2,analysis,"A winegrower is presenting a petition to establish a new viticultural area in California, emphasizing its distinct geographic identity and potential for premium winegrowing. The proposed region is not yet officially recognized but is being put forward by a local producer aiming to highlight the area’s unique terroir. Which of the following AVAs best matches this scenario?","[{'id': 'A', 'text': 'Santa Lucia Highlands AVA'}, {'id': 'B', 'text': 'Malibu-Newton Canyon AVA'}, {'id': 'C', 'text': 'Cole Ranch AVA'}, {'id': 'D', 'text': 'Edna Valley Vineyard AVA'}]",A,"Barry Jackson of the Harmony Wine Company proposing a viticultural area to be known as ""Santa Lucia Highlands.",,,,,,,,,
4525f527-2cab-4624-9a52-a6e1bdf39935,WB-WMK-0025-L2,fact_to_question,chatgpt,winemaking,2,recall,"For these Bordeaux wines, what bottle-ageing period is said to enhance their depth and complexity, even though they can be enjoyed young?","[{'id': 'A', 'text': '5 to 10 years'}, {'id': 'B', 'text': '8 to 15 years'}, {'id': 'C', 'text': '12 to 20 years'}, {'id': 'D', 'text': '2 to 4 years'}]",A,"Absolutely. These wines can be enjoyed young, but ageing 5 to 10 years will only enhance their depth and complexity.",,,,,,,,,
a3d0ac35-cbb6-43e2-8f1c-7591218a5443,WB-REG-0009-L1,template,template_only,wine_regions,1,recall,Which country is the Rheingau wine region located in?,"[{'id': 'A', 'text': 'US'}, {'id': 'B', 'text': 'Spain'}, {'id': 'C', 'text': 'South Africa'}, {'id': 'D', 'text': 'Germany'}]",D,The most widely reviewed variety in Rheingau is Riesling.,,,,,,,,,
a46ec85c-9897-4bbc-a966-3d88194dc673,WB-REG-0058-L2,scenario_synthesis,llama,wine_regions,2,synthesis,You are a winemaker in Croatia considering where to plant a new vineyard. You want to capture the historical reputation of Croatian wine while taking advantage of modern winemaking practices. Where should you plant your vineyard?,"[{'id': 'A', 'text': 'On the flat plains near large cooperatives'}, {'id': 'B', 'text': 'On the low hills rising from the coastal plain'}, {'id': 'C', 'text': 'In the mountains far inland'}, {'id': 'D', 'text': 'On the Dalmatian islands of Vis, Hvar and Korčula'}]",D,Vineyards are generally located on the low hills rising from the plain.,,,,,,,,,
784bf4e2-4d14-4f68-bf7c-edb55c46c50c,WB-PRD-0025-L2,template,template_only,producers,2,recall,True or False: Marques de Griñon is located in the Central Spain wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,Marques de Griñon is a wine producer in the Central Spain region of Spain.,,,,,,,,,
1047c30e-e2c1-473c-807a-719cf81c6ede,WB-VIT-0030-L2,comparative,gemini,viticulture,2,analysis,"A viticulturist is comparing the growing conditions of two distinct American wine regions. Region X features a sunny, dry environment that draws comparisons to the terroirs of Portugal and Spain. Region Y is characterized by a maritime climate driven by the Pacific Ocean. Which of the following correctly identifies Region X and Region Y?","[{'id': 'A', 'text': 'Region X is the Central Coast AVA; Region Y is Texas.'}, {'id': 'B', 'text': 'Region X is Texas; Region Y is the Willamette Valley AVA.'}, {'id': 'C', 'text': 'Region X is the Willamette Valley AVA; Region Y is the Central Coast AVA.'}, {'id': 'D', 'text': 'Region X is Texas; Region Y is the Central Coast AVA.'}]",D,"The sunny and dry climate of the major winemaking regions in the state have drawn comparison to Portuguese wines, in addition to other regions in Europe like Spain, France.",,,,,,,,,
1e2c6e08-f4ab-48a5-836f-92357a6a6302,WB-GRP-0056-L4,scenario_synthesis,qwen,grape_varieties,4,synthesis,"A viticulture historian is verifying claims about the early cultivation of Malbec in the Americas. They are presented with three vineyard records: (1) a 19th-century log from Argentina noting French ampelographer Pouget introducing new grape varieties; (2) a Chilean agricultural survey showing 2,361 hectares currently dedicated exclusively to Malbec; and (3) a 1990s Oregon vineyard planting record from Seven Hills Winery’s Windrow vineyard in Walla Walla Valley. Based on these documents, which conclusion can be drawn about the historical spread of Malbec in the Americas?","[{'id': 'A', 'text': 'The first Malbec vines in the Americas were brought to South America, and decades later the variety was planted in Oregon.'}, {'id': 'B', 'text': 'Malbec was first introduced to the Americas in Oregon via the Seven Hills Winery in the 1990s.'}, {'id': 'C', 'text': 'Chile has the largest planted area of Malbec in the Americas, surpassing all other countries.'}, {'id': 'D', 'text': 'Malbec was first cultivated in Chile, as evidenced by the extensive modern plantings.'}]",A,Seven Hills Winery planted the first vines of Malbec planted in Oregon state in the late 1990s in their Windrow vineyard in the Walla Walla Valley.,,,,,,,,,
1f41ba0f-e2d7-4e50-a33a-faaed8efc904,WB-WMK-0015-L2,fact_to_question,claude,winemaking,2,recall,"In analyses of viticultural factors contributing to yield gaps in vineyards, which of the following practices was found NOT to produce significant yield gaps?","[{'id': 'A', 'text': 'Nitrogen fertilisation strategy'}, {'id': 'B', 'text': 'Cover crop management'}, {'id': 'C', 'text': 'Climate and pest hazards'}, {'id': 'D', 'text': 'Crop protection against fungal diseases'}]",B,Cover crop management did not show significant yield gaps.,,,,,,,,,
6e0362f7-843c-4165-8168-6ee9792f8847,WB-PRD-0017-L1,template,template_only,producers,1,recall,In which country is Zull based?,"[{'id': 'A', 'text': 'Austria'}, {'id': 'B', 'text': 'New Zealand'}, {'id': 'C', 'text': 'Spain'}, {'id': 'D', 'text': 'Italy'}]",A,Zull is a wine producer in the Niederösterreich region of Austria.,,,,,,,,,
2f90336a-eed4-4e93-a05f-daa7b8abcfc3,WB-REG-0068-L3,distractor_mining,claude,wine_regions,3,analysis,This Bordeaux wine region takes its name from its geographic position between two rivers that subsequently merge to form the Gironde estuary. Which region is being described?,"[{'id': 'A', 'text': 'Montagne-Saint-Émilion'}, {'id': 'B', 'text': 'Fronsac'}, {'id': 'C', 'text': 'Médoc'}, {'id': 'D', 'text': 'Entre-Deux-Mers'}]",D,"With the vineyards of Lussac-Saint-Émilion, Montagne-Saint-Émilion and Puisseguin-Saint-Émilion, it forms part of the ""satellites"" of Saint-Émilion.",,,,,,,,,
cc4f3d2f-2064-4865-8947-adcf01c9f48b,WB-BIZ-0074-L3,distractor_mining,gemini,wine_business,3,analysis,"Which country holds the largest total vineyard surface area globally, despite ranking third in overall wine production by volume?","[{'id': 'A', 'text': 'Australia'}, {'id': 'B', 'text': 'France'}, {'id': 'C', 'text': 'United States'}, {'id': 'D', 'text': 'Spain'}]",D,"Spain was the world's third-largest wine producer by volume, though it has the largest vineyard area globally.",,,,,,,,,
