uuid,qid,difficulty,stem,options,gold,haiku_selected,haiku_confidence,haiku_correct,haiku_reasoning,sonnet_selected,sonnet_confidence,sonnet_correct,sonnet_reasoning,b2_severity
d1a20833-4000-42ab-9095-6cae51b2b1ee,WB-REG-0219-L2,2,"Which Spanish wine designation is defined not by a single contiguous territorial boundary, but rather encompasses more than 40 square kilometers of scattered vineyard plots distributed throughout its broader autonomous community?","A. Catalunya DOP
B. Vinos de Madrid DOP
C. Canarias DOP
D. Galician wine",A,B,0.72,False,"Vinos de Madrid DOP is known for its non-contiguous, scattered vineyard plots distributed across the Madrid autonomous community rather than forming a single unified territorial zone.",A,0.55,True,"Catalunya DOP is known as a broad regional designation covering scattered vineyard areas across the entire Catalonia autonomous community rather than a single contiguous zone, allowing blending from disparate subregions throughout the region.",pass
4d76e91f-ae66-4507-9769-5668fa636e16,WB-REG-0216-L2,2,Which grape variety is permitted for white wine production under the Chablis Grand Cru AOC?,"A. Clairette
B. Chardonnay
C. Ugni Blanc
D. Bourboulenc",B,B,0.98,True,"Chablis Grand Cru AOC is located in the Burgundy region of France and exclusively uses Chardonnay for white wine production, making it the only permitted grape variety.",B,0.99,True,"Chablis Grand Cru AOC, like all Chablis appellations in Burgundy, exclusively permits Chardonnay for white wine production.",fail
1e950b64-cccd-4541-8b5c-acf76a0cd531,WB-BIZ-0181-L2,2,Which wine-producing nation recorded a total output of roughly 9.0 million hectolitres for the 2023 vintage?,"A. South Africa
B. Australia
C. Chile
D. Argentina",A,D,0.72,False,"Argentina is one of the world's largest wine producers and typically produces in the 9-10 million hectolitre range annually, making it the most likely candidate among these options for a 2023 output of roughly 9.0 million hectolitres.",B,0.45,False,"Australia's wine production has been declining in recent years from its peak of ~14 million hL, and roughly 9 million hL is plausible for a reduced 2023 vintage, though I have limited certainty about the exact 2023 figures for each country listed.",pass
64f061f9-7a55-44cb-9a56-34ae5d9138a0,WB-GRP-0259-L2,2,"A winemaker in Oregon is developing a new experimental white wine blend and plans to label it with a single varietal designation. The intended grape is a lesser-known, non-European variety that has shown success in cooler climates due to its high acidity and resistance to botrytis. The winemaker is also considering two other varieties—one noted for its thick skins and high sugar concentration at harvest, often used in late-harvest wines, and another that thrives in humid conditions and contributes bright red fruit notes to blends. Before finalizing the label, the winemaker consults the TTB's list of approved grape variety names to ensure compliance. Which of the following must be true for any of these varieties to be used in a varietal designation on the wine label?","A. The grape variety must appear on the TTB’s approved list of grape names for labeling purposes.
B. At least 75% of the wine must be made from a blend of the three varieties, as none are individually recognized for varietal labeling.
C. The variety must be grown in accordance with AVA-specific regulations to qualify for varietal designation.
D. The variety must be of Vitis vinifera species; hybrids and non-traditional varieties are prohibited for varietal labeling.",A,A,0.85,True,"The TTB (Alcohol and Tobacco Tax and Trade Bureau) maintains an official approved list of grape varieties for labeling purposes in the United States, and any variety used for varietal designation must appear on this list regardless of origin or characteristics.",A,0.95,True,"Under TTB regulations (27 CFR Part 4), a grape variety name may only be used as a varietal designation on a wine label if it appears on the TTB's approved list of grape variety names, regardless of whether the variety is vinifera, hybrid, or otherwise — hybrids like Marquette or Traminette are on the approved list and can be used for varietal labeling.",fail
6c609013-5dd0-41bb-9ca8-fef4e4bca667,WB-REG-0220-L2,2,"When evaluating the maturation rules for specific Italian appellations, one requires a baseline of 35 months of cellar time (including two years in barrel), whereas another demands at least 36 months specifically for its Riserva tier. Which appellation dictates the 35-month baseline?","A. Valtellina Superiore
B. Barbaresco
C. Gattinara
D. Ghemme",C,A,0.72,False,"Valtellina Superiore is known for requiring 35 months of aging (including 2 years in barrel) as its baseline requirement, while Barbaresco's standard requirement is 26 months total, making Valtellina Superiore the most likely match for the 35-month baseline described.",D,0.45,False,"Ghemme DOCG requires a minimum of 35 months total aging (including at least 24 months in wood) for its standard release, which matches the 35-month baseline with two years in barrel described in the question.",pass
3a39f126-3824-4a19-8019-08395e886240,WB-PRD-0209-L1,1,What wine region is Château la Marzelle part of?,"A. Saint-Émilion
B. Northern Spain
C. Volnay AOC
D. Alentejo wine",A,A,0.75,True,"Château la Marzelle is a known wine producer in the Saint-Émilion region of Bordeaux, France, which is famous for its Merlot-based red wines.",A,0.85,True,"Château la Marzelle is a Grand Cru Classé estate located in the Saint-Émilion appellation of Bordeaux, France.",fail
12bd8eed-dd9e-4a15-b89e-3f8c610a6f1a,WB-GRP-0250-L2,2,"A winegrower is evaluating two American Viticultural Areas for varietal plantings. One AVA sanctions Petite Sirah among its permitted grapes, while the other sanctions Chardonnay. Which pairing correctly matches each grape to the AVA that permits it?","A. Petite Sirah → Manton Valley AVA; Chardonnay → Manton Valley AVA
B. Petite Sirah → Willamette Valley AVA; Chardonnay → Manton Valley AVA
C. Petite Sirah → Manton Valley AVA; Chardonnay → Willamette Valley AVA
D. Petite Sirah → Willamette Valley AVA; Chardonnay → Willamette Valley AVA",C,C,0.45,True,"Willamette Valley in Oregon is known for Pinot Noir and Chardonnay production, while Manton Valley (if it exists as a distinct AVA) would more likely permit Petite Sirah as a warm-climate red variety, though I have low confidence in this pairing.",C,0.62,True,"Manton Valley AVA in Northern California (Tehama County) is a warm-climate region suited to Rhône and Italian varieties including Petite Sirah, while Willamette Valley AVA in Oregon is famously associated with cool-climate varieties, most notably Pinot Noir and Chardonnay.",warn
20074207-c1da-437b-9a3e-d6830acd000a,WB-GRP-0221-L2,2,Which appellation in the Loire Valley mandates the use of Chenin blanc for the production of its sweet white wines and is situated within the Anjou subregion?,"A. Vouvray
B. Quarts de Chaume
C. Coteaux du Layon
D. Bonnezeaux",D,B,0.85,False,"Quarts de Chaume is a prestigious sweet wine appellation within Anjou that mandates Chenin blanc, whereas Coteaux du Layon (also in Anjou) allows it but doesn't mandate it exclusively, and Vouvray is in Touraine, not Anjou.",C,0.55,False,"While both Quarts de Chaume and Bonnezeaux are also Anjou appellations requiring Chenin blanc for sweet wines, Coteaux du Layon is the broader appellation in the Anjou subregion most commonly associated with sweet Chenin blanc production, with Quarts de Chaume and Bonnezeaux being sub-appellations within it — though the question's phrasing about 'mandating Chenin blanc' applies to all of them, Coteaux du Layon is the primary/defining appellation of the group.",pass
7bdcd575-8032-439c-ad35-089657423973,WB-REG-0178-L1,1,"Given the fact, in which country would a traveller find the San Juan wine region?","A. Mexico
B. Spain
C. Argentina
D. Uruguay",C,C,0.85,True,"San Juan is a well-known wine region in Argentina, located in the northwestern part of the country and known for producing high-altitude wines, particularly Syrah and other varietals.",C,0.95,True,"San Juan is a well-known wine-producing province in Argentina, located north of Mendoza, known primarily for Syrah and Malbec production.",fail
599630f2-4a43-4a11-8b57-f2c51cc39c0f,WB-PRD-0210-L1,1,What wine region is Château Laniote part of?,"A. Alentejo wine
B. Saint-Émilion
C. Northern Spain
D. Volnay AOC",B,B,0.85,True,"Château Laniote is a Grand Cru Classé estate located in Saint-Émilion, a prestigious wine region in Bordeaux, France, known for Merlot-based red wines.",B,0.85,True,"Château Laniote is a Grand Cru Classé estate located in the Saint-Émilion appellation of Bordeaux, France.",fail
9310362d-eb05-4199-bfc1-7bab862543e0,WB-GRP-0200-L1,1,"Per the fact, which country hosts cultivation of Cabernet Sauvignon?","A. Argentina
B. Mexico
C. Spain
D. Uruguay",A,A,0.95,True,"Argentina is one of the world's premier Cabernet Sauvignon producers, particularly in the Mendoza region, making it the most notable country among these options for this varietal's cultivation.",A,0.85,True,"Argentina is one of the world's major wine-producing countries and widely cultivates Cabernet Sauvignon, particularly in regions like Mendoza, making it the strongest answer among the options listed.",warn
31d353e9-83d0-4b7a-9034-5ef4d922266f,WB-GRP-0220-L2,2,Which red grape variety and its color mutations are authorized for use in the production of fortified vin doux naturels in Rivesaltes and Banyuls within the Roussillon region?,"A. Syrah and its rosé and blanc mutations
B. Mourvèdre and its blanc and gris variants
C. Carignan noir with its blanc and gris expressions
D. Grenache noir and its gris and blanc forms",D,D,0.85,True,"Grenache noir (Garnacha) is the primary red grape variety for Rivesaltes and Banyuls VDN in Roussillon, with its color mutations Grenache gris and Grenache blanc being authorized variants for these fortified wines.",D,0.95,True,"Grenache noir, along with its color mutations Grenache gris and Grenache blanc, is the primary authorized grape variety for the production of fortified vins doux naturels in both Rivesaltes and Banyuls appellations in Roussillon.",fail
3416ce5b-3ddd-4a1a-9b7e-a9c2411a4d1e,WB-GRP-0202-L1,1,"Given the fact, a producer working with Red Blend would be operating in which country?","A. Argentina
B. Brazil
C. Spain
D. Mexico",C,A,0.7,False,"Red Blend is a prominent wine category in Argentina, particularly associated with Mendoza region producers blending Malbec with other varietals, though red blends exist in other countries, Argentina is most strongly identified with this classification in modern wine marketing.",A,0.55,False,"Red Blend is a common wine style produced across many countries, but Argentina is a major wine-producing nation in South America known for diverse red blends, making it the most likely answer among the options, though this question likely refers to a specific producer or region context not fully specified.",pass
2bb4146a-92c3-4e84-9b40-396cd05eb36e,WB-GRP-0203-L1,1,"A new producer seeks advice on a proven region for Garganega. According to the fact, which wine region fits?","A. Silvaner
B. Nebbiolo
C. Veneto
D. Barbera",C,C,0.95,True,"Garganega is a white grape variety primarily grown in the Veneto region of northeastern Italy, where it is the main grape used in Soave wine production.",C,0.95,True,"Garganega is the primary white grape variety of the Veneto region in northeastern Italy, most notably used in Soave DOC wines.",fail
2102c411-6389-43ac-86ea-523139ce8f7c,WB-GRP-0201-L1,1,"Given the fact, a producer working with Tempranillo would be operating in which country?","A. Mexico
B. Brazil
C. Spain
D. Argentina",C,C,0.95,True,"Tempranillo is the primary red wine grape of Spain, particularly famous in regions like Rioja and Ribera del Duero, making Spain the most characteristic country for Tempranillo production.",C,0.97,True,"Tempranillo is Spain's most iconic native red grape variety, forming the backbone of wines from Rioja, Ribera del Duero, and many other Spanish regions.",fail
457007b6-332d-4073-a526-cb79125a3477,WB-REG-0177-L1,1,"Per the fact, the Central Spain wine region is situated in which country?","A. Brazil
B. Argentina
C. Spain
D. Mexico",C,C,0.99,True,"Central Spain is a wine region located in Spain, as indicated by the name itself and general knowledge of Spanish wine geography.",C,0.99,True,"Central Spain is a wine region located in Spain, as indicated by its name and geographic designation.",fail
99d9a63b-91c6-4d24-bd23-6f32fc5c18ee,WB-REG-0173-L1,1,The fact assigns the Manton Valley AVA to which US state?,"A. California
B. Arizona
C. Oregon
D. Colorado",A,A,0.35,True,"Manton Valley is not a widely recognized AVA in my training data, but California has the most AVAs of any US state, making it a reasonable guess despite low confidence.",A,0.85,True,"Manton Valley AVA is located in Tehama and Shasta counties in northern California, established as an American Viticultural Area in 2012.",fail
4158a6b3-8fd5-4851-bff1-6d65fe410376,WB-REG-0175-L1,1,The fact assigns the Diamond Mountain District AVA to which US state?,"A. Colorado
B. Arizona
C. Oregon
D. California",D,D,0.95,True,"Diamond Mountain District is a well-known wine AVA located in Napa County, California, in the North Bay region.",D,0.99,True,"Diamond Mountain District is an AVA located in Napa Valley, California, known for its volcanic soils and Cabernet Sauvignon production.",fail
643eb8af-7b7c-47ce-ae8a-fe96cd08c6a6,WB-REG-0185-L2,2,Identify the broader region containing Elba Aleatico Passito.,"A. Veneto
B. Nice
C. Costa
D. Tuscany",D,D,0.85,True,"Elba is an island off the coast of Tuscany, Italy, and Aleatico Passito is a sweet wine produced there, making Tuscany the broader region.",D,0.95,True,"Elba Aleatico Passito is a DOC wine from the island of Elba, which is part of the Tuscany region in Italy.",fail
c3f3cb04-0d4a-47ce-b558-26a5b58f4224,WB-REG-0176-L1,1,"Per the fact, the Bolgheri Superiore wine region is situated in which country?","A. Croatia
B. Greece
C. Italy
D. Slovenia",C,C,0.95,True,"Bolgheri is a renowned wine region located in Tuscany, Italy, famous for its Super Tuscan wines.",C,0.99,True,"Bolgheri Superiore is a prestigious DOC wine region located in Tuscany, Italy, famous for Super Tuscan wines like Sassicaia.",fail
d62f7b49-0526-4e50-8f77-4a5b76f70768,WB-PRD-0200-L1,1,"A buyer plans to import wines directly from the estate Grafen Neipperg. Per the fact, which country's export procedures should they follow?","A. Hungary
B. France
C. Italy
D. Germany",D,D,0.75,True,"Grafen Neipperg is a known wine estate in the Württemberg region of Germany, so German export procedures would apply.",D,0.75,True,"Grafen Neipperg (Graf Neipperg) is a historic German noble estate with wine holdings in Württemberg, Germany, making German export procedures applicable.",warn
cf5b541f-a914-4cda-9c70-61aa64c45d2d,WB-PRD-0201-L1,1,"A buyer plans to import wines directly from the estate Schloss Vollrads. Per the fact, which country's export procedures should they follow?","A. Hungary
B. Germany
C. France
D. Italy",B,B,0.95,True,"Schloss Vollrads is a famous wine estate located in the Rheingau region of Germany, known for producing Riesling wines.",B,0.97,True,"Schloss Vollrads is a historic wine estate located in the Rheingau region of Germany, so German export procedures would apply.",fail
e69ff6d8-57df-4bca-8dcc-07474bdcb29e,WB-PRD-0204-L1,1,The fact places Marqués de Cáceres in which country?,"A. Brazil
B. Spain
C. Argentina
D. Mexico",B,B,0.95,True,"Marqués de Cáceres is a well-known Spanish wine producer located in the Rioja region of Spain, established in 1970.",B,0.99,True,Marqués de Cáceres is a well-known Spanish winery located in the Rioja wine region of Spain.,fail
ddbf6ee0-5f05-4dcf-9702-2acec56cc7bd,WB-PRD-0203-L1,1,"Per the fact, the wine estate Grafen Neipperg is located in which country?","A. France
B. Italy
C. Hungary
D. Germany",D,D,0.7,True,"Grafen Neipperg appears to be a German wine estate based on the naming convention 'Grafen' (German for 'Count') and Neipperg, which is a German surname associated with wine regions.",D,0.85,True,"Grafen Neipperg (Graf Neipperg) is a historic German noble family with wine estates in Württemberg, Germany, though a branch also has holdings in Saint-Émilion, France; the primary estate associated with the Neipperg name is in Germany.",warn
dffb7462-9895-4f2b-abd6-08b4af2c6dd9,WB-PRD-0202-L1,1,A retailer preparing a country-of-origin label for Marqués de Cáceres wines checks the fact. Which country applies?,"A. Brazil
B. Spain
C. Argentina
D. Mexico",B,B,0.95,True,Marqués de Cáceres is a well-known Spanish wine producer located in the Rioja region of Spain.,B,0.99,True,"Marqués de Cáceres is a well-known Spanish winery located in Cenicero, La Rioja, Spain.",fail
87d9cf7e-73b5-428e-be6c-d9fbbb7c1889,WB-GRP-0227-L2,2,"In Canada during the 1990s, wider planting of which kind of grape increased the range of varieties that could be damaged by frost?","A. French-American hybrid grapes
B. Vitis vinifera, the European grape group
C. PIWI disease-resistant varieties
D. Vitis labrusca, the North American grape group",B,B,0.75,True,"Vitis vinifera grapes are more frost-sensitive than hardy North American varieties, so increased planting of these European grapes in Canada during the 1990s would have expanded the range of frost-vulnerable varieties being grown.",B,0.72,True,"In the 1990s, Canadian wine regions expanded plantings of Vitis vinifera (European varieties like Chardonnay, Riesling, Cabernet Franc), which are significantly more frost-sensitive than the hardy native or hybrid varieties previously dominant, thereby increasing frost damage risk across the industry.",warn
902a180b-c693-4b9e-88de-3cf57c39be51,WB-BIZ-0169-L2,2,Which Italian wine region is associated with a single DOCG designation known for a red wine made primarily from Grenache?,"A. Sicily
B. Piedmont
C. Tuscany
D. Sardinia",D,D,0.75,True,"Sardinia is known for Cannonau, a DOCG red wine made primarily from Grenache (Garnacha), which is the region's signature varietal.",D,0.82,True,"Sardinia is associated with Cannonau di Sardegna DOCG, made primarily from Cannonau (the local name for Grenache), making it the Italian region most closely linked to a Grenache-based DOCG red wine.",warn
f0b930b0-3d02-48a3-a90e-e27884ce875a,WB-PRD-0205-L1,1,"Per the fact, the wine estate Schloss Vollrads is located in which country?","A. Germany
B. France
C. Hungary
D. Italy",A,A,0.95,True,"Schloss Vollrads is a famous Riesling wine estate located in the Rheingau region of Germany, one of the most prestigious wine-producing areas in the country.",A,0.98,True,"Schloss Vollrads is a historic wine estate located in the Rheingau region of Germany, known for its Riesling wines.",fail
2338c27b-7dfe-42a4-a299-8762c48e7ff4,WB-GRP-0251-L2,2,"This red grape variety played a significant role in revitalizing viticulture in southern Italian regions such as Apulia and Campania in the aftermath of World War II, largely thanks to its generous productivity and its suitability for mechanized vineyard work. Which grape is being described?","A. Nebbiolo
B. Sangiovese
C. Aglianico
D. Barbera",D,C,0.75,False,"Aglianico is a southern Italian grape native to Campania and Basilicata regions, known for its productivity and robustness, making it well-suited for post-WWII agricultural mechanization and revitalization efforts in southern Italy, whereas Nebbiolo and Sangiovese are northern Italian varieties and Barbera, while productive, is primarily associated with Piedmont.",D,0.55,True,"Barbera is known for its high productivity and adaptability, and while it's most associated with Piedmont, it was promoted in southern Italy post-WWII for its generous yields and suitability for mechanized farming, though this is a less commonly tested fact and I have moderate uncertainty.",pass
68899e49-355d-415c-9c41-1524d2e10bdb,WB-GRP-0260-L2,2,"A winemaker in a major Australian wine-producing area is planning the next vintage and reviewing regional characteristics. The region is known for producing wines with a balanced interplay between natural acidity and fruit expression. The primary grape varieties cultivated locally include a mix of both red and white types, with significant plantings of internationally recognized black and white varieties. Additionally, this region frequently receives grape shipments from neighboring inland zones within New South Wales—such as one located in a high-altitude volcanic area, another in a dry inland basin, and others in elevated, cool-climate districts—all of which are often labeled under a broad geographic designation due to regulatory flexibility. Given these conditions, which of the following decisions would best align with both the region’s viticultural practices and its wine style reputation?","A. Sourcing a portion of Chardonnay and Cabernet Sauvignon from nearby inland regions and blending them under a general geographic label to maintain consistency and volume
B. Focusing exclusively on single-vineyard bottlings from high-elevation sites to emphasize terroir distinctiveness, avoiding any fruit from lower-quality zones
C. Harvesting all white varieties early to preserve acidity, even at the expense of phenolic ripeness, to counteract warm climate conditions
D. Fermenting the majority of red lots with extended maceration to maximize tannin extraction, prioritizing structure over freshness",A,A,0.75,True,"The question describes a region known for balanced acidity and fruit expression that receives fruit from multiple inland NSW zones and uses broad geographic labeling, which aligns with blending practices under general appellations like 'South Eastern Australia' or similar, making sourcing and blending from nearby regions under a geographic label the most consistent with stated regional practices and regulatory flexibility.",A,0.72,True,"The question describes a region (consistent with Hunter Valley or a broader NSW zone) that regularly blends fruit from neighboring inland areas like high-altitude volcanic zones (e.g., Orange), dry inland basins (e.g., Riverina), and cool elevated districts, all permissible under broad GI labeling such as 'South Eastern Australia'—making sourcing Chardonnay and Cabernet Sauvignon from nearby inland regions and blending under a general geographic label the most consistent practice with the described viticultural and regulatory reality.",fail
bf927237-7d08-4f2b-9058-b34b8965cebb,WB-REG-0200-L2,2,"The traditional, historical growing area for Soave Classico DOC is defined by the territory surrounding which two specific municipalities?","A. Soave and Illasi
B. Soave and Colognola ai Colli
C. Soave and San Bonifacio
D. Soave and Monteforte d'Alpone",D,D,0.75,True,"Soave and Monteforte d'Alpone are the two historic municipalities that traditionally define the Soave Classico zone, with Monteforte d'Alpone being the other major historic center of Soave production alongside Soave itself.",D,0.92,True,"The Soave Classico DOC zone is historically defined by the original, traditional growing area surrounding the municipalities of Soave and Monteforte d'Alpone, which form the historic core of the appellation.",fail
7cc12e8a-699a-4db7-b315-854ea5ee2f7c,WB-BIZ-0171-L2,2,A flagship wine industry initiative in a major Southern Hemisphere producing country has achieved substantial reductions in electricity and gas use through the adoption of a renewable energy source derived from subsurface heat. Which energy source enabled these efficiency gains?,"A. Geothermal energy
B. Solar power
C. Wind energy
D. Biomass fermentation",A,A,0.85,True,"The clue 'subsurface heat' directly describes geothermal energy, which is the only option that derives from heat beneath the Earth's surface, and New Zealand wine regions have implemented geothermal heating systems for wineries.",A,0.6,True,"The question explicitly describes energy 'derived from subsurface heat,' which is the definition of geothermal energy, and New Zealand (a major Southern Hemisphere wine producer) is notably active in geothermal energy adoption.",fail
df587ccc-5450-4e43-9f27-c8769ab1f696,WB-PRD-0213-L2,2,In which Médoc commune is the Bordeaux estate Château d'Angludet located?,"A. Saint-Julien
B. Cantenac
C. Saint-Estèphe
D. Pauillac",B,B,0.75,True,"Château d'Angludet is a well-known Bordeaux estate located in Cantenac, a commune in the Médoc region known for its quality wines.",B,0.85,True,"Château d'Angludet is located in the commune of Cantenac in the Margaux appellation of the Médoc, and is associated with the Sichel family.",fail
